sample_id,dt,pos_weight_mean,neg_weight_mean,beta_self_mean,beta_pos_mean,beta_neg_mean
1,2024-05-13,0.0020576136,0.002057613,0.9960359,0.0021213056,0.0018428472
1,2024-05-14,0.0020576136,0.0020576133,0.8838127,7.974764e-05,0.116107546
1,2024-05-15,0.0020576129,0.0020576129,0.99999976,1.7584654e-07,2.281464e-07
1,2024-05-16,0.002057613,0.0020576136,0.97119355,0.028806377,1.5882316e-07
1,2024-05-17,0.0020576129,0.0020576129,0.6728284,5.077763e-13,0.32717156
1,2024-05-20,0.0020576129,0.002057614,0.67940605,0.08664457,0.2339494
1,2024-05-21,0.0020576136,0.0020576136,1.0,2.0759061e-09,2.0759061e-09
1,2024-05-22,0.0020576133,0.0020576133,0.99999964,2.1786111e-07,2.1504316e-07
1,2024-05-23,0.0020576136,0.0020576126,0.87337124,0.10879259,0.017836103
1,2024-05-24,0.0020576122,0.0020576136,0.19883314,0.7974651,0.0037018307
1,2024-05-28,0.002057613,0.0020576138,0.15172175,0.84030074,0.007977468
1,2024-05-29,0.0020576133,0.002057613,0.07703384,1.6591107e-09,0.9229662
1,2024-05-30,0.0020576136,0.0020576136,0.99999434,2.4240157e-06,3.3107171e-06
1,2024-05-31,0.0020576129,0.002057613,0.5241789,0.46146137,0.01435977
1,2024-06-03,0.0020576143,0.0020576136,0.9999976,2.4547167e-06,2.5853588e-08
1,2024-06-04,0.0020576129,0.0020576129,0.34383497,0.00015066494,0.6560144
1,2024-06-05,0.0020576133,0.0020576133,1.0,8.718958e-09,8.718958e-09
1,2024-06-06,0.002057613,0.0020576129,0.5979318,0.34083006,0.061238166
1,2024-06-07,0.002057613,0.0020576129,0.5429252,0.053450275,0.40362453
1,2024-06-10,0.0020576129,0.0020576136,0.9693016,0.03069844,7.895274e-19
