code,dt
MCO,2022-04-25
MDLZ,2022-04-25
MDT,2022-04-25
MET,2022-04-25
META,2022-04-25
MGM,2022-04-25
MHK,2022-04-25
MKC,2022-04-25
MKTX,2022-04-25
MLM,2022-04-25
MMC,2022-04-25
MMM,2022-04-25
MNST,2022-04-25
MO,2022-04-25
MOH,2022-04-25
MOS,2022-04-25
MPC,2022-04-25
MPWR,2022-04-25
MRK,2022-04-25
MRNA,2022-04-25
MS,2022-04-25
MSCI,2022-04-25
MSFT,2022-04-25
MSI,2022-04-25
MTB,2022-04-25
MTCH,2022-04-25
MTD,2022-04-25
MU,2022-04-25
NCLH,2022-04-25
NDAQ,2022-04-25
NDSN,2022-04-25
NEE,2022-04-25
NEM,2022-04-25
NFLX,2022-04-25
NI,2022-04-25
NKE,2022-04-25
NOC,2022-04-25
NOW,2022-04-25
NRG,2022-04-25
NSC,2022-04-25
NTAP,2022-04-25
NTRS,2022-04-25
NUE,2022-04-25
NVDA,2022-04-25
NVR,2022-04-25
NWS,2022-04-25
NWSA,2022-04-25
NXPI,2022-04-25
O,2022-04-25
ODFL,2022-04-25
OKE,2022-04-25
OMC,2022-04-25
ON,2022-04-25
ORCL,2022-04-25
ORLY,2022-04-25
OXY,2022-04-25
PANW,2022-04-25
PARA,2022-04-25
PAYC,2022-04-25
PAYX,2022-04-25
PCAR,2022-04-25
PCG,2022-04-25
PEG,2022-04-25
PEP,2022-04-25
PFE,2022-04-25
PFG,2022-04-25
PG,2022-04-25
PGR,2022-04-25
PH,2022-04-25
PHM,2022-04-25
PKG,2022-04-25
PLD,2022-04-25
PM,2022-04-25
PNC,2022-04-25
PNR,2022-04-25
PNW,2022-04-25
PODD,2022-04-25
POOL,2022-04-25
PPG,2022-04-25
PPL,2022-04-25
PRU,2022-04-25
PSA,2022-04-25
PSX,2022-04-25
PTC,2022-04-25
PWR,2022-04-25
PYPL,2022-04-25
QCOM,2022-04-25
RCL,2022-04-25
REG,2022-04-25
REGN,2022-04-25
RF,2022-04-25
RJF,2022-04-25
RL,2022-04-25
RMD,2022-04-25
ROK,2022-04-25
ROL,2022-04-25
ROP,2022-04-25
ROST,2022-04-25
RSG,2022-04-25
RTX,2022-04-25
RVTY,2022-04-25
SBAC,2022-04-25
SBUX,2022-04-25
SCHW,2022-04-25
SHW,2022-04-25
SJM,2022-04-25
SLB,2022-04-25
SMCI,2022-04-25
SNA,2022-04-25
SNPS,2022-04-25
SO,2022-04-25
SPG,2022-04-25
SPGI,2022-04-25
SRE,2022-04-25
STE,2022-04-25
STLD,2022-04-25
STT,2022-04-25
STX,2022-04-25
STZ,2022-04-25
SWK,2022-04-25
SWKS,2022-04-25
SYF,2022-04-25
SYK,2022-04-25
SYY,2022-04-25
T,2022-04-25
TAP,2022-04-25
TDG,2022-04-25
TDY,2022-04-25
TECH,2022-04-25
TEL,2022-04-25
TER,2022-04-25
TFC,2022-04-25
TGT,2022-04-25
TJX,2022-04-25
TKO,2022-04-25
TMO,2022-04-25
TMUS,2022-04-25
TPL,2022-04-25
TPR,2022-04-25
TRGP,2022-04-25
TRMB,2022-04-25
TROW,2022-04-25
TRV,2022-04-25
TSCO,2022-04-25
TSLA,2022-04-25
TSN,2022-04-25
TT,2022-04-25
TTWO,2022-04-25
TXN,2022-04-25
TXT,2022-04-25
TYL,2022-04-25
UAL,2022-04-25
UBER,2022-04-25
UDR,2022-04-25
UHS,2022-04-25
ULTA,2022-04-25
UNH,2022-04-25
UNP,2022-04-25
UPS,2022-04-25
URI,2022-04-25
USB,2022-04-25
V,2022-04-25
VICI,2022-04-25
VLO,2022-04-25
VMC,2022-04-25
VRSK,2022-04-25
VRSN,2022-04-25
VRTX,2022-04-25
VST,2022-04-25
VTR,2022-04-25
VTRS,2022-04-25
VZ,2022-04-25
WAB,2022-04-25
WAT,2022-04-25
WBA,2022-04-25
WBD,2022-04-25
WDAY,2022-04-25
WDC,2022-04-25
WEC,2022-04-25
WELL,2022-04-25
WFC,2022-04-25
WM,2022-04-25
WMB,2022-04-25
WMT,2022-04-25
WRB,2022-04-25
WSM,2022-04-25
WST,2022-04-25
WTW,2022-04-25
WY,2022-04-25
WYNN,2022-04-25
XEL,2022-04-25
XOM,2022-04-25
XYL,2022-04-25
YUM,2022-04-25
ZBH,2022-04-25
ZBRA,2022-04-25
ZTS,2022-04-25
