Stock
NVDA
TSLA
AAPL
AMZN
AMD
INTC
AAL
GOOGL
PLUG
MARA
MSFT
SMCI
GOOG
AVGO
TLRY
META
CSCO
CMCSA
MU
RIOT
WBD
OCGN
DKNG
UAL
HBAN
PARA
LRCX
PTON
CSX
IQ
PYPL
LYFT
JBLU
JD
AGNC
MRVL
GEVO
ERIC
WBA
PDD
MRNA
VTRS
MSTR
QCOM
SNDL
APA
SBUX
RUN
HST
PANW
GILD
BKR
KDP
EXC
KHC
AMAT
CAN
MVIS
ON
MDLZ
TTD
EBAY
SABR
NVAX
BILI
ROKU
NNDM
WDC
VXRT
AZN
NFLX
OPK
FTNT
GERN
TSCO
VOD
FITB
PACB
PENN
FLEX
MCHP
TXN
MNST
PEP
QVCGA
ZM
STNE
ARDX
CHRD
TMUS
TCOM
GEN
PTEN
CPRT
PAA
GT
CRWD
NWL
BIDU
IOVA
