sample_id,dt,pos_weight_mean,neg_weight_mean,beta_self_mean,beta_pos_mean,beta_neg_mean
1,2025-02-05,0.004675,0.0049750004,0.2662698,0.7287277,0.0050024483
1,2025-02-06,0.0047999998,0.004975,0.17954546,0.82045454,1.2253675e-08
1,2025-02-07,0.0046,0.0049750004,0.088972665,0.6893297,0.22169769
1,2025-02-10,0.0043,0.004975,0.9996942,0.00028172368,2.4065514e-05
1,2025-02-11,0.004325,0.0049750004,0.32043555,0.67784035,0.0017240384
1,2025-02-12,0.0044249995,0.0049500004,1.0,1.2533547e-08,1.2509045e-08
1,2025-02-13,0.0042,0.004975,0.9108342,0.08016304,0.009002734
1,2025-02-14,0.0041,0.004975,0.4977997,0.50219524,5.0671633e-06
1,2025-02-18,0.003925,0.0049749995,0.27700555,0.72092336,0.0020711266
1,2025-02-19,0.004,0.00495,0.30446175,0.627952,0.06758622
1,2025-02-20,0.00435,0.0049499995,0.36139378,0.63181216,0.006794099
1,2025-02-21,0.0048249997,0.0049499995,0.18070713,0.81870604,0.00058684265
1,2025-02-24,0.0046250005,0.00495,0.925605,0.07437824,1.6698292e-05
1,2025-02-25,0.0046250005,0.004925,0.49989718,4.548413e-06,0.5000983
1,2025-02-26,0.00435,0.0049499995,0.9999995,2.6007635e-07,2.599389e-07
1,2025-02-27,0.004825,0.004925,0.39515626,0.010473613,0.5943701
1,2025-02-28,0.0045,0.00495,0.36644614,0.6108305,0.022723345
1,2025-03-03,0.004775,0.0049250005,0.72499925,0.27499282,7.949886e-06
1,2025-03-04,0.0047250004,0.00495,0.47474635,0.5252436,1.0051235e-05
1,2025-03-05,0.0045999996,0.00495,0.0048380964,0.99032384,0.004838069
