date,nodes,pos_edges,neg_edges
2020-05-08,200,6520,1908
2020-05-11,200,13418,1994
2020-05-12,200,18038,2184
2020-05-13,200,18412,2246
2020-05-14,200,18698,2418
2020-05-15,200,16464,826
2020-05-18,200,14058,1154
2020-05-19,200,12788,1268
2020-05-20,200,13488,1326
2020-05-21,200,14256,1374
2020-05-22,200,13616,1366
2020-05-26,200,12912,1298
2020-05-08,200,6520,1908
2020-05-11,200,13418,2430
2020-05-12,200,18044,2952
2020-05-13,200,5650,1908
2020-05-14,200,11356,2998
2020-05-15,200,14794,3790
2020-05-18,200,15190,4466
2020-05-19,200,15600,4814
2020-05-20,200,14116,3514
2020-05-21,200,13358,3440
2020-05-22,200,12982,3448
2020-05-26,200,13208,3336
2020-05-27,200,13518,3574
2020-05-28,200,13198,3686
2020-05-29,200,12354,4072
2020-06-01,200,11774,4170
2020-06-02,200,12252,4080
2020-06-03,200,12908,4096
2020-06-04,200,13210,4134
2020-06-05,200,13450,3754
2020-06-08,200,14050,3680
2020-06-09,200,14982,3950
2020-06-10,200,15630,4232
2020-06-11,200,15818,4220
2020-06-12,200,15892,4058
2020-06-15,200,16258,4080
2020-06-16,200,16960,4154
2020-06-17,200,17268,4180
2020-06-18,200,17282,4222
2020-06-19,200,17082,4616
2020-06-22,200,16964,4666
2020-06-23,200,17042,4762
2020-06-24,200,17028,4774
2020-06-25,200,16468,4774
2020-06-26,200,15804,4566
2020-06-29,200,15326,4598
2020-06-30,200,14744,4566
2020-07-01,200,14334,4688
2020-07-02,200,13656,4976
2020-07-06,200,12706,5042
2020-07-07,200,11950,5214
2020-07-08,200,11308,6084
2020-07-09,200,10768,6958
2020-07-10,200,9504,8334
2020-07-13,200,8786,8744
2020-07-14,200,8266,9122
2020-07-15,200,8222,9442
2020-07-16,200,8304,9390
2020-07-17,200,8260,9024
2020-07-20,200,8154,8936
2020-07-21,200,8178,8666
2020-07-22,200,8134,8142
2020-07-23,200,8328,8038
2020-07-24,200,8324,7764
2020-07-27,200,8216,7582
2020-07-28,200,8296,7826
2020-07-29,200,8148,7802
2020-07-30,200,8014,7544
2020-07-31,200,7810,7336
2020-08-03,200,7510,7274
2020-08-04,200,7192,7280
2020-08-05,200,7066,6946
2020-08-06,200,7026,6728
2020-08-07,200,7120,6338
2020-08-10,200,7298,6460
2020-08-11,200,7436,6280
2020-08-12,200,7590,6390
2020-08-13,200,7536,6406
2020-08-14,200,7256,6336
2020-08-17,200,7154,6412
2020-08-18,200,7030,6782
2020-08-19,200,6876,7110
2020-08-20,200,6796,7582
2020-08-21,200,6628,7742
2020-08-24,200,6528,7748
2020-08-25,200,6548,7840
2020-08-26,200,6688,7892
2020-08-27,200,6852,8014
2020-08-28,200,7032,8148
2020-08-31,200,7110,8294
2020-09-01,200,7124,8336
2020-09-02,200,7198,8656
2020-09-03,200,7300,9060
2020-09-04,200,7318,9220
2020-09-08,200,7330,9244
2020-09-09,200,7560,9210
2020-09-10,200,7804,9022
2020-09-11,200,8104,8546
2020-09-14,200,8196,8350
2020-09-15,200,8394,8270
2020-09-16,200,8242,8198
2020-09-17,200,8114,7934
2020-09-18,200,7986,7794
2020-09-21,200,7944,7844
2020-09-22,200,7920,7826
2020-09-23,200,7864,7566
2020-09-24,200,7898,7240
2020-09-25,200,7964,6772
2020-09-28,200,8048,6428
2020-09-29,200,8040,6154
2020-09-30,200,8018,5884
2020-10-01,200,8156,5936
2020-10-02,200,8444,6322
2020-10-05,200,8436,6264
2020-10-06,200,8624,6146
2020-10-07,200,8558,6232
2020-10-08,200,8648,5954
2020-10-09,200,8690,5644
2020-10-12,200,8880,5584
2020-10-13,200,9322,5304
2020-10-14,200,10040,4786
2020-10-15,200,10722,4478
2020-10-16,200,11142,4184
2020-10-19,200,11760,4190
2020-10-20,200,11998,4116
2020-10-21,200,12262,4108
2020-10-22,200,12214,4246
2020-10-23,200,11884,4418
2020-10-26,200,11578,4434
2020-10-27,200,11390,4386
2020-10-28,200,11182,4420
2020-10-29,200,11502,4230
2020-10-30,200,11830,3822
2020-11-02,200,12336,3486
2020-11-03,200,12558,3362
2020-11-04,200,12706,3218
2020-11-05,200,12442,3204
2020-11-06,200,11966,3058
2020-11-09,200,11310,3040
2020-11-10,200,10854,3226
2020-11-11,200,10386,3410
2020-11-12,200,9892,3454
2020-11-13,200,9458,3556
2020-11-16,200,9388,3624
2020-11-17,200,9744,3666
2020-11-18,200,10058,3586
2020-11-19,200,10184,3606
2020-11-20,200,10398,3520
2020-11-23,200,10620,3432
2020-11-24,200,10682,3296
2020-11-25,200,10904,3260
2020-11-27,200,11014,3412
2020-11-30,200,11216,3370
2020-12-01,200,11392,3658
2020-12-02,200,11614,3886
2020-12-03,200,12012,3954
2020-12-04,200,12276,3850
2020-12-07,200,12526,3926
2020-12-08,200,12990,3946
2020-12-09,200,13838,3856
2020-12-10,200,14678,3834
2020-12-11,200,15196,3964
2020-12-14,200,15466,4044
2020-12-15,200,15754,4024
2020-12-16,200,15892,4078
2020-12-17,200,15812,4144
2020-12-18,200,15706,3864
2020-12-21,200,15382,3666
2020-12-22,200,14728,3430
2020-12-23,200,13926,3486
2020-12-24,200,13156,3596
2020-12-28,200,12498,3786
2020-12-29,200,11914,4050
2020-12-30,200,11472,4266
2020-12-31,200,10768,4392
2021-01-04,200,10036,4526
2021-01-05,200,9264,4790
2021-01-06,200,8796,5150
2021-01-07,200,8336,5404
2021-01-08,200,7940,5458
2021-01-11,200,7786,5338
2021-01-12,200,7772,5248
2021-01-13,200,7914,5120
2021-01-14,200,7848,4956
2021-01-15,200,7940,4984
2021-01-19,200,7878,5072
2021-01-20,200,7720,5276
2021-01-21,200,7790,5352
2021-01-22,200,7808,5394
2021-01-25,200,8088,5558
2021-01-26,200,8178,5716
2021-01-27,200,8398,5758
