input,time,task,horizon,mae,mse,rmse,r2,accuracy,precission,recall,F1,MCC,bce,WS-dist
corr,stabletimes,regression,day1,0.01205033757301763,0.0002723256360971914,0.016502291843777075,0.6735502048754457,,,,,,,0.006031465800031788
corr,stabletimes,regression,day5,0.010976942794391065,0.000277638033261479,0.016662473803774728,0.7056988284252302,,,,,,,0.0035243891951152236
corr,stabletimes,regression,day20,0.011901288582415862,0.0003509367708717314,0.018733306458597516,0.6445370035297564,,,,,,,0.0036608357894412054
corr,stabletimes,classification,day1,,,,,0.9300000071525574,0.9323308270676691,0.9612403100775194,0.9465648854961832,0.8460121656613304,0.19346672296524048,
corr,stabletimes,classification,day5,,,,,0.9049999713897705,0.8931297709923665,0.9230769230769231,0.9078564500484966,0.8103413773958135,0.2386063188314438,
corr,stabletimes,classification,day20,,,,,0.9020000100135803,0.8774560496380558,0.9163066954643628,0.8964606444796619,0.804199726656875,0.2416527271270752,
corr,unstabletimes,regression,day1,0.017036770281729584,0.0005461182348464049,0.023369172746299877,-0.17797750485455244,,,,,,,0.0038660404145411747
corr,unstabletimes,regression,day5,0.015834289562182385,0.0004914483774568534,0.022168634993089978,0.682903473785766,,,,,,,0.0020522233917987303
corr,unstabletimes,regression,day20,0.015869939219359374,0.0005524273721281908,0.023503773572092435,0.6011783420246537,,,,,,,0.005392845504070216
corr,unstabletimes,classification,day1,,,,,0.9200000166893005,0.9491525423728814,0.96,0.9545454545454546,0.6219990593011816,0.2925059497356415,
corr,unstabletimes,classification,day5,,,,,0.7839999794960022,0.7640117994100295,0.9024390243902439,0.8274760383386581,0.5575794203839792,0.43349188566207886,
corr,unstabletimes,classification,day20,,,,,0.8002499938011169,0.7408944213923467,0.8714750542299349,0.8008970844754548,0.6111319667501849,0.4109547436237335,
DSE,stabletimes,regression,day1,0.010402597009008991,0.00018980123071760314,0.013776836745697582,0.772476165776635,,,,,,,0.006268947239580259
DSE,stabletimes,regression,day5,0.010865785019144696,0.0002608493035594874,0.016150829810244655,0.7234951755701291,,,,,,,0.005111588634081581
DSE,stabletimes,regression,day20,0.011314430991010774,0.00029704938659523615,0.017235120730509437,0.6991194032004586,,,,,,,0.003013851311677278
DSE,stabletimes,classification,day1,,,,,0.8849999904632568,0.8955223880597015,0.9302325581395349,0.9125475285171103,0.7459898877611706,0.26091545820236206,
DSE,stabletimes,classification,day5,,,,,0.8579999804496765,0.8264758497316637,0.9112426035502958,0.8667917448405253,0.719444345919542,0.3182591199874878,
DSE,stabletimes,classification,day20,,,,,0.8707500100135803,0.8219971056439942,0.9200863930885529,0.86828025477707,0.7467446202694802,0.2990191578865051,
DSE,unstabletimes,regression,day1,0.015255298834351266,0.0003904757911332321,0.019760460296593094,0.15774338083657158,,,,,,,0.011549452947750855
DSE,unstabletimes,regression,day5,0.020129438564857813,0.000725347853391928,0.026932282736372867,0.5319848530220754,,,,,,,0.008278415804066894
DSE,unstabletimes,regression,day20,0.017128437714865195,0.0006072710324787733,0.024642869810125066,0.5615842873959114,,,,,,,0.006002719350135987
DSE,unstabletimes,classification,day1,,,,,0.8450000286102295,1.0,0.8228571428571428,0.9028213166144201,0.6060915267313265,0.284496009349823,
DSE,unstabletimes,classification,day5,,,,,0.8700000047683716,0.9007220216606499,0.8693379790940766,0.8847517730496454,0.736385307785646,0.2909756004810333,
DSE,unstabletimes,classification,day20,,,,,0.8734999895095825,0.8631921824104235,0.8622559652928417,0.8627238198589257,0.7454317253182838,0.2972717583179474,
