date,nodes,pos_edges,neg_edges
2020-05-08,200,6520,1908
2020-05-11,200,13440,2408
2020-05-12,200,17686,2828
2020-05-13,200,18188,3108
2020-05-14,200,18488,3510
2020-05-15,200,16322,2300
2020-05-18,200,13972,2730
2020-05-19,200,12798,2924
2020-05-20,200,13458,2960
2020-05-21,200,14206,3058
2020-05-22,200,13624,3066
2020-05-26,200,12948,2914
2020-05-27,200,12724,3002
2020-05-28,200,12850,3262
2020-05-29,200,12950,3650
2020-06-01,200,12200,4010
2020-06-02,200,11676,3864
2020-06-03,200,11734,3688
2020-06-04,200,12384,3776
2020-06-05,200,13240,3706
2020-06-08,200,13892,3618
2020-06-09,200,14142,3712
2020-06-10,200,14412,3972
2020-06-11,200,14864,4178
2020-06-12,200,15212,4124
2020-06-15,200,15880,4094
2020-06-16,200,16068,4174
2020-06-17,200,16224,4218
2020-06-18,200,16558,4220
2020-06-19,200,16876,4456
2020-06-22,200,16724,4526
2020-06-23,200,16414,4658
2020-06-24,200,16184,4774
2020-06-25,200,16106,4718
2020-06-26,200,15846,4706
2020-06-29,200,15212,4566
2020-06-30,200,14560,4540
2020-07-01,200,13836,4562
2020-07-02,200,13320,4840
2020-07-06,200,12904,4864
2020-07-07,200,12068,4978
2020-07-08,200,11152,5512
2020-07-09,200,10274,6338
2020-07-10,200,9524,7610
2020-07-13,200,8982,8022
2020-07-14,200,8154,8384
2020-07-15,200,7960,8588
2020-07-16,200,7984,8808
2020-07-17,200,8148,8704
2020-07-20,200,8098,8660
2020-07-21,200,8002,8612
2020-07-22,200,8050,8146
2020-07-23,200,8110,7912
2020-07-24,200,8198,7512
2020-07-27,200,8170,7456
2020-07-28,200,8142,7518
2020-07-29,200,8050,7652
2020-07-30,200,7810,7392
2020-07-31,200,7590,7136
2020-08-03,200,7414,7086
2020-08-04,200,7012,7100
2020-08-05,200,6728,6952
2020-08-06,200,6650,6578
2020-08-07,200,6724,6264
2020-08-10,200,6910,6100
2020-08-11,200,6980,6088
2020-08-12,200,7164,6204
2020-08-13,200,7248,6420
2020-08-14,200,7112,6280
2020-08-17,200,6984,6326
2020-08-18,200,6878,6558
2020-08-19,200,6666,7048
2020-08-20,200,6572,7434
2020-08-21,200,6538,7740
2020-08-24,200,6544,7876
2020-08-25,200,6628,7910
2020-08-26,200,6766,7958
2020-08-27,200,6910,8008
2020-08-28,200,7108,8104
2020-08-31,200,7222,8304
2020-09-01,200,7298,8374
2020-09-02,200,7350,8518
2020-09-03,200,7534,9064
2020-09-04,200,7574,9350
2020-09-08,200,7562,9340
2020-09-09,200,7688,9230
2020-09-10,200,7946,9316
2020-09-11,200,8236,9050
2020-09-14,200,8388,8796
2020-09-15,200,8444,8732
2020-09-16,200,8410,8706
2020-09-17,200,8212,8490
2020-09-18,200,8032,8300
2020-09-21,200,8028,8296
2020-09-22,200,8086,8294
2020-09-23,200,8106,8132
2020-09-24,200,8036,7724
2020-09-25,200,8172,7168
2020-09-28,200,8280,6766
2020-09-29,200,8322,6452
2020-09-30,200,8300,6250
2020-10-01,200,8384,6100
2020-10-02,200,8648,6416
2020-10-05,200,8634,6484
2020-10-06,200,8726,6422
2020-10-07,200,8726,6528
2020-10-08,200,8844,6370
2020-10-09,200,9062,6038
2020-10-12,200,9228,5758
2020-10-13,200,9782,5512
2020-10-14,200,10480,5018
2020-10-15,200,11282,4710
2020-10-16,200,11700,4316
2020-10-19,200,12394,4312
2020-10-20,200,12784,4308
2020-10-21,200,13046,4314
2020-10-22,200,13044,4256
2020-10-23,200,12738,4560
2020-10-26,200,12474,4740
2020-10-27,200,12180,4768
2020-10-28,200,12000,4762
2020-10-29,200,12144,4598
2020-10-30,200,12644,4216
2020-11-02,200,13198,3728
2020-11-03,200,13540,3520
2020-11-04,200,13640,3368
2020-11-05,200,13598,3376
2020-11-06,200,13190,3204
2020-11-09,200,12436,3200
2020-11-10,200,12356,3268
2020-11-11,200,11994,3424
2020-11-12,200,11444,3630
2020-11-13,200,10962,3628
2020-11-16,200,10762,3720
2020-11-17,200,11008,3900
2020-11-18,200,11308,3936
2020-11-19,200,11484,3894
2020-11-20,200,11698,3852
2020-11-23,200,11860,3782
2020-11-24,200,11992,3668
2020-11-25,200,12108,3592
2020-11-27,200,12288,3636
2020-11-30,200,12494,3722
2020-12-01,200,12674,3934
2020-12-02,200,12980,4086
2020-12-03,200,13288,4336
2020-12-04,200,13562,4396
2020-12-07,200,13888,4442
2020-12-08,200,14434,4412
2020-12-09,200,15020,4532
2020-12-10,200,15936,4288
2020-12-11,200,16626,4342
2020-12-14,200,16944,4380
2020-12-15,200,17154,4424
2020-12-16,200,17560,4464
2020-12-17,200,17538,4456
2020-12-18,200,17466,4282
2020-12-21,200,17110,4026
2020-12-22,200,16706,3878
2020-12-23,200,15810,3852
2020-12-24,200,15048,3966
2020-12-28,200,14400,4090
2020-12-29,200,13832,4364
2020-12-30,200,13336,4654
2020-12-31,200,12554,4872
2021-01-04,200,11820,5108
2021-01-05,200,10950,5412
2021-01-06,200,10212,5794
2021-01-07,200,9580,6110
2021-01-08,200,9168,6122
2021-01-11,200,9026,6102
2021-01-12,200,8840,6032
2021-01-13,200,9070,5996
2021-01-14,200,9132,5836
2021-01-15,200,9152,5768
2021-01-19,200,9110,5874
2021-01-20,200,9004,6044
2021-01-21,200,8894,6206
2021-01-22,200,8912,6188
2021-01-25,200,9078,6342
2021-01-26,200,9188,6500
2021-01-27,200,9372,6570
2021-01-28,200,9568,6706
2021-01-29,200,9586,6738
2021-02-01,200,9472,6674
2021-02-02,200,9522,6582
2021-02-03,200,9514,6416
2021-02-04,200,9696,6306
2021-02-05,200,9966,6192
2021-02-08,200,10074,5970
2021-02-09,200,10172,5772
2021-02-10,200,10294,5468
2021-02-11,200,10384,5196
2021-02-12,200,10362,5006
2021-02-16,200,10170,4996
2021-02-17,200,10136,4878
2021-02-18,200,10318,4956
2021-02-19,200,10144,4974
2021-02-22,200,10098,5128
2021-02-23,200,10056,5186
2021-02-24,200,10052,5166
2021-02-25,200,10110,5264
2021-02-26,200,10592,5324
2021-03-01,200,11132,5296
2021-03-02,200,11430,5228
2021-03-03,200,11754,5356
2021-03-04,200,12058,5500
2021-03-05,200,12460,5598
2021-03-08,200,12790,5878
2021-03-09,200,12932,6092
2021-03-10,200,12718,6518
2021-03-11,200,12590,7062
2021-03-12,200,12268,7578
2021-03-15,200,11956,8008
2021-03-16,200,11550,8320
2021-03-17,200,11348,8588
2021-03-18,200,11316,8756
2021-03-19,200,11134,8774
2021-03-22,200,10986,8986
2021-03-23,200,11060,9088
2021-03-24,200,11000,9076
2021-03-25,200,10898,8790
2021-03-26,200,10954,8376
2021-03-29,200,10726,7828
2021-03-30,200,10670,7498
2021-03-31,200,10688,7060
2021-04-01,200,10666,6704
2021-04-05,200,10394,6658
2021-04-06,200,10208,6808
2021-04-07,200,10348,7000
2021-04-08,200,10224,6896
2021-04-09,200,10144,6674
2021-04-12,200,9952,6550
2021-04-13,200,9966,6482
2021-04-14,200,9864,6704
2021-04-15,200,9782,7054
2021-04-16,200,9716,7438
2021-04-19,200,9630,7878
2021-04-20,200,9514,8096
2021-04-21,200,9222,8152
2021-04-22,200,9222,8148
2021-04-23,200,8934,8116
2021-04-26,200,8546,8370
2021-04-27,200,8128,8260
2021-04-28,200,7882,8262
2021-04-29,200,7560,8502
2021-04-30,200,7348,8506
2021-05-03,200,7112,8280
2021-05-04,200,6926,8352
2021-05-05,200,6758,8290
2021-05-06,200,6662,8096
2021-05-07,200,6826,8230
2021-05-10,200,6940,8302
2021-05-11,200,7370,8532
2021-05-12,200,8134,8476
2021-05-13,200,8722,8236
2021-05-14,200,9408,8222
2021-05-17,200,10134,8088
2021-05-18,200,10602,7968
2021-05-19,200,10978,8086
2021-05-20,200,11350,8328
2021-05-21,200,11434,8388
2021-05-24,200,11620,8308
2021-05-25,200,11738,8304
2021-05-26,200,11854,8418
2021-05-27,200,11914,8560
2021-05-28,200,12130,8796
2021-06-01,200,12384,8904
2021-06-02,200,12652,8926
2021-06-03,200,12774,8690
2021-06-04,200,12758,8502
2021-06-07,200,12740,8334
2021-06-08,200,12826,8016
2021-06-09,200,12846,7614
2021-06-10,200,12438,7098
2021-06-11,200,11850,6718
2021-06-14,200,11240,6634
2021-06-15,200,10940,6392
2021-06-16,200,10640,6168
2021-06-17,200,10264,6080
2021-06-18,200,10062,6398
2021-06-21,200,10148,6578
2021-06-22,200,10172,6874
2021-06-23,200,9918,7028
2021-06-24,200,9622,7216
2021-06-25,200,9558,7182
2021-06-28,200,9544,7320
2021-06-29,200,9398,7594
2021-06-30,200,9256,7894
2021-07-01,200,9070,8210
2021-07-02,200,9064,8296
2021-07-06,200,9024,8400
2021-07-07,200,8880,8642
2021-07-08,200,8794,8946
2021-07-09,200,8958,9034
2021-07-12,200,8904,9096
2021-07-13,200,8646,9106
2021-07-14,200,8456,9318
2021-07-15,200,8538,9428
2021-07-16,200,8624,9444
2021-07-19,200,8758,9278
2021-07-20,200,9286,8938
2021-07-21,200,9668,8526
2021-07-22,200,9918,8020
2021-07-23,200,10190,7744
2021-07-26,200,10424,7614
