date,nodes,pos_edges_cos,neg_edges_cos,pos_edges_ssa,neg_edges_ssa
2020-05-07,200,24740,1498,38188,12978
2020-05-08,200,23998,1630,38024,13782
2020-05-11,200,23226,1862,37468,13484
2020-05-12,200,22246,2206,36744,13522
2020-05-13,200,21536,2438,36660,14228
2020-05-14,200,21112,2624,36338,15076
2020-05-15,200,20340,3092,35722,15624
2020-05-18,200,20026,3192,35586,15686
2020-05-19,200,20120,3158,35354,16092
2020-05-20,200,20304,3218,35318,16268
2020-05-21,200,20334,3244,35284,16394
2020-05-22,200,20000,3370,35370,16974
2020-05-26,200,19530,3220,35464,17352
2020-05-27,200,18656,3326,35278,18416
2020-05-28,200,17792,3824,34748,19546
2020-05-29,200,17146,4266,33912,20196
2020-06-01,200,17314,4322,33866,19948
2020-06-02,200,17668,4246,33766,19348
2020-06-03,200,18190,4168,34188,19228
2020-06-04,200,18694,4126,34024,18892
2020-06-05,200,19334,3952,34444,18126
2020-06-08,200,19722,3826,34716,17922
2020-06-09,200,19892,4070,34380,17718
2020-06-10,200,20218,4420,34172,17158
2020-06-11,200,20418,4166,34150,16414
2020-06-12,200,20796,4046,34230,16144
2020-06-15,200,21156,3844,34388,15348
2020-06-16,200,21302,3836,34058,14866
2020-06-17,200,21502,4000,34078,14866
2020-06-18,200,21364,4026,34226,15028
2020-06-19,200,21066,3914,34442,15596
2020-06-22,200,20638,3822,34502,16122
2020-06-23,200,20332,3748,34712,16610
2020-06-24,200,19980,3732,34518,17150
2020-06-25,200,19464,3716,34414,17894
2020-06-26,200,18976,3756,34424,18474
2020-06-29,200,18584,3794,34442,18690
2020-06-30,200,18016,3884,34324,19432
2020-07-01,200,17134,4074,34090,20430
2020-07-02,200,16372,4058,34134,21144
2020-07-06,200,14962,4112,34020,22418
2020-07-07,200,13088,4916,32812,23982
2020-07-08,200,11786,6048,31040,24822
2020-07-09,200,10924,7358,28904,25752
2020-07-10,200,11028,7784,28756,25532
2020-07-13,200,11234,7988,28500,25352
2020-07-14,200,11084,8254,28088,25388
2020-07-15,200,11286,7866,28552,25342
2020-07-16,200,11492,7722,28604,25206
2020-07-17,200,11716,7462,28970,25038
2020-07-20,200,12060,7176,29318,24622
2020-07-21,200,12544,6632,29810,23944
2020-07-22,200,12928,6702,30254,23796
2020-07-23,200,13154,6552,30520,23542
2020-07-24,200,13170,6528,30426,23650
2020-07-27,200,12984,6516,30470,23928
2020-07-28,200,12930,6658,30674,24192
2020-07-29,200,12688,6608,30444,24044
2020-07-30,200,12338,6514,30670,24318
2020-07-31,200,12218,6574,30848,24860
2020-08-03,200,11998,6588,30856,25086
2020-08-04,200,11754,6156,31140,25322
2020-08-05,200,11918,5442,31642,24312
2020-08-06,200,11802,4986,31624,23368
2020-08-07,200,12094,4884,31522,22542
2020-08-10,200,12674,4938,31960,22760
2020-08-11,200,13056,5124,31950,22376
2020-08-12,200,13400,5568,31722,22784
2020-08-13,200,13568,5752,31422,22708
2020-08-14,200,13522,5960,30868,22662
2020-08-17,200,13614,6236,30322,22488
2020-08-18,200,13354,6728,29936,22724
2020-08-19,200,13138,7008,29620,22874
2020-08-20,200,13020,7242,29888,23386
2020-08-21,200,13034,7120,29710,23290
2020-08-24,200,13236,7136,29624,22888
2020-08-25,200,13422,7160,29748,22610
2020-08-26,200,13520,7092,29906,22494
2020-08-27,200,13538,7112,30038,22256
2020-08-28,200,13640,7196,29668,21866
