date,n_nodes,cos_pos,pred_pos,overlap_cos_pred_pos,cos_neg,pred_neg,overlap_cos_pred_neg,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-12,217,14558,15315,7181,5872,7102,2791,44,72
2020-05-13,217,14638,15882,7292,5804,6439,2767,3,50
2020-05-14,217,14554,15315,7259,5714,6920,2803,8,16
2020-05-15,217,15032,15404,7463,5472,6874,2666,21,28
2020-05-18,217,15274,15960,7546,5166,6366,2489,34,50
2020-05-19,217,15158,16191,7438,5088,6146,2385,95,86
2020-05-20,217,14842,15768,7287,5198,6461,2475,80,75
2020-05-21,217,15088,15460,7504,5550,6737,2662,15,41
2020-05-22,217,16688,15777,8252,4804,6608,2239,32,80
2020-05-25,217,19308,17312,9642,3930,5214,1935,0,7
2020-05-26,217,20404,17731,10184,3892,4791,1885,4,31
2020-05-27,217,20732,17698,10360,3786,4762,1884,2,2
2020-05-28,217,20982,17947,10443,3666,4560,1769,15,40
2020-05-29,217,21544,17563,10758,3882,4965,1908,7,16
2020-06-01,217,21902,17639,10866,3590,4897,1740,40,28
2020-06-02,217,22680,18936,11309,3246,3714,1575,7,29
2020-06-03,217,22938,19419,11449,3008,3150,1460,9,18
2020-06-04,217,22918,19049,11448,2936,3603,1455,5,6
2020-06-05,217,22378,19005,11182,2944,3613,1458,2,4
2020-06-08,217,21578,18740,10777,3024,3756,1490,4,6
2020-06-09,217,21598,18712,10777,3182,3836,1561,5,4
2020-06-10,217,21760,18573,10837,3410,4231,1599,13,42
2020-06-11,217,21672,18454,10820,3512,4172,1734,3,13
2020-06-12,217,21658,18441,10763,3318,4103,1609,18,21
2020-06-15,217,21578,18301,10757,3482,4222,1721,14,10
2020-06-16,217,21208,18005,10594,3694,4574,1828,5,12
2020-06-17,217,20894,17957,10442,3910,4640,1940,2,10
2020-06-18,217,20536,18067,10265,4002,4404,1980,1,2
2020-06-19,217,19224,17824,9604,3872,4531,1912,0,10
2020-06-22,217,17022,17275,8499,4178,4986,2050,2,8
2020-06-23,217,15512,16803,7753,4352,5112,2150,1,9
2020-06-24,217,14614,15636,7275,4544,6386,2244,10,12
2020-06-29,217,13138,15061,6531,4868,6909,2371,22,18
2020-06-30,217,12202,13829,6013,6326,8314,2981,51,99
2020-07-01,217,12660,13922,6261,6524,8377,3154,42,62
2020-07-02,217,14270,13705,6940,6024,8772,2917,106,55
2020-07-03,217,16352,14841,8089,5202,7565,2512,50,60
2020-07-06,217,18880,15791,9382,4364,6801,2151,37,26
2020-07-07,217,21074,15420,10366,3704,6928,1788,67,51
2020-07-08,217,22198,17006,11041,3724,5430,1825,30,21
2020-07-09,217,22908,17929,11425,3888,4740,1891,8,26
2020-07-10,217,23138,16303,11511,4136,6431,1968,24,60
2020-07-13,217,22996,17978,11487,4026,4563,1997,1,4
2020-07-14,217,22128,17442,11055,4534,5046,2243,2,5
2020-07-15,217,21424,17458,10685,5068,5388,2466,8,32
2020-07-16,217,21296,17250,10641,4768,5422,2360,4,7
2020-07-17,217,21870,18166,10890,4008,4668,1946,13,21
2020-07-20,217,22406,18316,10928,3738,4683,1738,205,94
2020-07-21,217,23132,19017,11524,3434,3794,1665,16,32
2020-07-22,217,24112,19313,11989,3132,3639,1499,29,39
2020-07-23,217,25426,19934,12675,2712,3137,1309,19,18
2020-07-24,217,27594,20448,13735,2084,2514,974,28,29
2020-07-27,217,30080,20775,14944,1556,2472,680,66,52
2020-07-28,217,32240,20846,16018,1340,2264,607,74,45
2020-07-29,217,33914,20953,16848,1324,2281,628,82,26
2020-07-30,217,34910,20754,17373,1302,2515,608,70,37
2020-07-31,217,36066,20942,17968,1282,2223,599,48,24
2020-08-03,217,36114,20621,17980,1290,2535,617,60,17
2020-08-04,217,35156,20587,17537,1340,2476,657,20,8
2020-08-05,217,33654,20750,16784,1434,2312,703,32,8
2020-08-06,217,32144,20138,16044,1622,2809,799,12,4
2020-08-07,217,30918,20079,15419,1676,2797,818,20,10
2020-08-10,217,27780,19592,13862,1890,3098,915,10,16
2020-08-11,217,22764,18741,11354,2340,3733,1141,13,8
2020-08-12,217,17556,16833,8747,3480,5396,1710,13,10
2020-08-13,217,16218,15449,8056,5134,6998,2542,30,15
2020-08-14,217,16396,15191,8145,6110,7352,3032,28,12
2020-08-17,217,15958,15059,7960,6344,7360,3133,6,14
2020-08-18,217,16232,14938,8074,6598,7510,3259,14,14
2020-08-19,217,15998,14961,7977,6954,7285,3445,4,10
2020-08-20,217,15830,13883,7871,7214,8516,3565,25,12
2020-08-21,217,15644,13986,7792,7546,8393,3732,16,19
2020-08-24,217,15072,13609,7510,7958,8836,3927,8,23
2020-08-25,217,14540,13278,7252,8122,8993,4027,4,16
2020-08-26,217,14196,13487,7088,7736,8564,3839,1,12
2020-08-27,217,14170,13571,7076,7076,8386,3524,3,3
2020-08-28,217,14120,15429,6795,6928,6480,2961,116,261
2020-08-31,217,14090,14900,7011,6482,7033,3181,9,13
2020-09-01,217,13762,14439,6792,6706,7725,3229,30,40
2020-09-02,217,13470,14293,6497,7090,8135,3274,151,166
2020-09-03,217,13638,13971,6637,7362,8361,3500,103,126
2020-09-04,217,14362,13644,7105,7096,8608,3481,35,32
2020-09-07,217,14824,14599,7364,6592,7426,3240,21,23
2020-09-08,217,15424,14858,7672,5956,7195,2931,10,14
2020-09-09,217,16366,15928,8145,5012,6281,2451,14,20
2020-09-10,217,17464,16069,8724,4498,6247,2220,4,10
2020-09-11,217,18724,16990,9353,4186,5350,2057,1,8
2020-09-14,217,18498,16881,9238,4068,5365,2009,4,10
2020-09-15,217,17354,15704,8536,4292,6557,2050,56,67
2020-09-16,217,16212,15260,8057,4622,7104,2271,14,24
2020-09-17,217,16042,15636,7973,4686,6715,2283,29,39
2020-09-18,217,16050,16368,7980,4462,5751,2183,18,28
2020-09-21,217,16864,17241,8387,4228,5036,2042,16,44
2020-09-22,217,16768,17082,8371,4418,5218,2148,2,28
2020-09-23,217,16800,16732,8383,4364,5738,2123,7,26
2020-09-24,217,16666,16764,8325,4010,5370,1942,3,36
2020-09-25,217,16622,16775,8305,3660,5201,1803,5,14
2020-09-28,217,16344,17132,8165,3790,4754,1824,1,20
2020-09-29,217,16152,16546,8037,4020,5580,1967,16,9
