sample_id,dt,pos_weight_mean,neg_weight_mean,beta_self_mean,beta_pos_mean,beta_neg_mean
1,2024-05-10,0.0020576133,0.0020576129,0.9997256,0.00013713486,0.00013729301
1,2024-05-13,0.002057614,0.002057613,0.13317002,0.85965115,0.0071788416
1,2024-05-14,0.0020576133,0.0020576133,0.97866684,0.016529769,0.004803437
1,2024-05-15,0.0020576138,0.0020576136,0.90185666,0.090626225,0.007517123
1,2024-05-16,0.0020576129,0.0020576129,0.41615707,0.5685646,0.015278332
1,2024-05-17,0.002057613,0.0020576138,1.08714964e-07,3.5803286e-08,0.99999994
1,2024-05-20,0.0020576133,0.0020576133,0.7477932,0.131695,0.12051184
1,2024-05-21,0.0020576129,0.0020576133,0.61697197,0.19445191,0.18857609
1,2024-05-22,0.0020576138,0.0020576133,0.99861443,0.00052745745,0.0008581183
1,2024-05-23,0.0020576133,0.002057613,0.9999999,1.8183354e-07,3.6486608e-08
1,2024-05-24,0.0020576133,0.002057613,0.9999984,8.328063e-07,8.437973e-07
1,2024-05-28,0.0020576124,0.002057613,0.9708625,0.014568742,0.014568742
1,2024-05-29,0.002057613,0.0020576129,0.9858701,0.008621531,0.0055084005
1,2024-05-30,0.0020576133,0.0020576136,0.11849586,0.8787553,0.0027488014
1,2024-05-31,0.0020576136,0.002057613,1.0,7.263631e-10,9.539808e-09
1,2024-06-03,0.0020576133,0.0020576136,0.26573804,0.6311286,0.1031334
1,2024-06-04,0.002057613,0.0020576136,1.0,5.114226e-10,4.828478e-10
1,2024-06-05,0.002057613,0.0020576133,0.9999976,1.142098e-06,1.2133368e-06
1,2024-06-06,0.0020576129,0.002057613,0.63195026,0.14522533,0.22282435
1,2024-06-07,0.0020576124,0.002057613,0.9979419,6.698966e-13,0.0020581132
