Stock
BEAM
AMKR
NYMTN
PSEC
LKQ
EXEL
NSSC
VCTR
ACB
TREE
ATSG
TENB
HSIC
FSV
JSM
ERIE
PTCT
TW
CRON
VEON
HALO
BRKL
ARCT
MCRI
JBHT
HSDT
MGRC
CROX
ALNY
UPBD
CHCO
NEOG
CLLS
PANW
QNST
COOP
CBUS
ALEC
LAB
CPB
PCRX
NEO
ANSS
WVE
AMCX
CMCSA
FCEL
AEP
GYRE
ITRI
NGNE
OBLG
CFFN
ACGLO
MRNA
AMBA
TGTX
WWD
IMVT
CBRL
CBSH
VSEC
ZD
COLL
WTFCM
MKTX
KLIC
TTWO
DOMO
SAIC
COMM
IDYA
INDB
MEDP
PLAB
APTO
ICHR
ON
ASND
DSGR
APPN
RBCAA
JBLU
WABC
FUTU
ZYME
HAS
KOD
CYTK
BWIN
CRWD
GOGO
SSYS
CERS
HLNE
VRSK
BILI
IONS
HTHT
TCPC
TXG
MSEX
NTRS
VBTX
XEL
LASR
PTON
FAST
MGPI
QRVO
GLPI
KURA
QTTB
LNT
GOSS
PLMR
PALI
OPI
PLAY
UFPT
SGMO
BLUE
PCTY
NTES
CTAS
DXCM
BZUN
DPZ
PRTA
VNET
ARWR
SNPS
CHRD
CINF
OCFC
ALTR
ACIW
PSNL
ADBE
TRUP
WW
MSFT
CMCO
INSM
PEBO
FHB
CRUS
URBN
MBUU
RARE
CHEF
BPOP
UCTT
IOSP
PCAR
PLUS
SPTN
MDGL
CENTA
AMRX
GLDD
OSW
STNE
ASTH
AAL
GLPG
CARG
LIN
NAVI
NTAP
OSIS
ONC
ACGL
NTLA
TBBK
FTDR
CYBR
BJRI
SPSC
NBTB
AVTX
RGNX
MGNI
DGII
FITBI
MRTN
SINT
FCFS
DIOD
MU
AGIO
ADSK
BCPC
UBSI
HLIT
AAON
PLSE
GSAT
ESTA
UMBF
