code,dt
MCO,2022-05-24
MDLZ,2022-05-24
MDT,2022-05-24
MET,2022-05-24
META,2022-05-24
MGM,2022-05-24
MHK,2022-05-24
MKC,2022-05-24
MKTX,2022-05-24
MLM,2022-05-24
MMC,2022-05-24
MMM,2022-05-24
MNST,2022-05-24
MO,2022-05-24
MOH,2022-05-24
MOS,2022-05-24
MPC,2022-05-24
MPWR,2022-05-24
MRK,2022-05-24
MRNA,2022-05-24
MS,2022-05-24
MSCI,2022-05-24
MSFT,2022-05-24
MSI,2022-05-24
MTB,2022-05-24
MTCH,2022-05-24
MTD,2022-05-24
MU,2022-05-24
NCLH,2022-05-24
NDAQ,2022-05-24
NDSN,2022-05-24
NEE,2022-05-24
NEM,2022-05-24
NFLX,2022-05-24
NI,2022-05-24
NKE,2022-05-24
NOC,2022-05-24
NOW,2022-05-24
NRG,2022-05-24
NSC,2022-05-24
NTAP,2022-05-24
NTRS,2022-05-24
NUE,2022-05-24
NVDA,2022-05-24
NVR,2022-05-24
NWS,2022-05-24
NWSA,2022-05-24
NXPI,2022-05-24
O,2022-05-24
ODFL,2022-05-24
OKE,2022-05-24
OMC,2022-05-24
ON,2022-05-24
ORCL,2022-05-24
ORLY,2022-05-24
OXY,2022-05-24
PANW,2022-05-24
PARA,2022-05-24
PAYC,2022-05-24
PAYX,2022-05-24
PCAR,2022-05-24
PCG,2022-05-24
PEG,2022-05-24
PEP,2022-05-24
PFE,2022-05-24
PFG,2022-05-24
PG,2022-05-24
PGR,2022-05-24
PH,2022-05-24
PHM,2022-05-24
PKG,2022-05-24
PLD,2022-05-24
PM,2022-05-24
PNC,2022-05-24
PNR,2022-05-24
PNW,2022-05-24
PODD,2022-05-24
POOL,2022-05-24
PPG,2022-05-24
PPL,2022-05-24
PRU,2022-05-24
PSA,2022-05-24
PSX,2022-05-24
PTC,2022-05-24
PWR,2022-05-24
PYPL,2022-05-24
QCOM,2022-05-24
RCL,2022-05-24
REG,2022-05-24
REGN,2022-05-24
RF,2022-05-24
RJF,2022-05-24
RL,2022-05-24
RMD,2022-05-24
ROK,2022-05-24
ROL,2022-05-24
ROP,2022-05-24
ROST,2022-05-24
RSG,2022-05-24
RTX,2022-05-24
RVTY,2022-05-24
SBAC,2022-05-24
SBUX,2022-05-24
SCHW,2022-05-24
SHW,2022-05-24
SJM,2022-05-24
SLB,2022-05-24
SMCI,2022-05-24
SNA,2022-05-24
SNPS,2022-05-24
SO,2022-05-24
SPG,2022-05-24
SPGI,2022-05-24
SRE,2022-05-24
STE,2022-05-24
STLD,2022-05-24
STT,2022-05-24
STX,2022-05-24
STZ,2022-05-24
SWK,2022-05-24
SWKS,2022-05-24
SYF,2022-05-24
SYK,2022-05-24
SYY,2022-05-24
T,2022-05-24
TAP,2022-05-24
TDG,2022-05-24
TDY,2022-05-24
TECH,2022-05-24
TEL,2022-05-24
TER,2022-05-24
TFC,2022-05-24
TGT,2022-05-24
TJX,2022-05-24
TKO,2022-05-24
TMO,2022-05-24
TMUS,2022-05-24
TPL,2022-05-24
TPR,2022-05-24
TRGP,2022-05-24
TRMB,2022-05-24
TROW,2022-05-24
TRV,2022-05-24
TSCO,2022-05-24
