epoch,loss
1,0.8899297871985417
2,0.8096024736761743
3,0.7751798009565889
4,0.758489552650428
5,0.7457606061337465
6,0.7346775993497595
7,0.725546398426539
8,0.717952747612919
9,0.7111223183916229
10,0.7045628069713163
11,0.698018100748568
12,0.6913777768832141
13,0.6846503846855938
14,0.6778875102628354
15,0.6712325131100078
16,0.6649061049896001
17,0.659169788338928
18,0.6541688935011012
19,0.6498209904690442
20,0.6459395873934209
21,0.6423506475558274
22,0.6389656679967991
23,0.6357315340433021
24,0.6326074934978559
25,0.629571984776652
26,0.6266336662793677
27,0.6237610427338203
28,0.6211141060019683
29,0.6186495642055628
30,0.6163415990727887
