Stock
NVDA
TSLA
AAPL
AMZN
AMD
INTC
AAL
GOOGL
PLUG
MARA
MSFT
SMCI
GOOG
AVGO
TLRY
META
CSCO
CMCSA
MU
RIOT
WBD
OCGN
DKNG
UAL
HBAN
PARA
LRCX
PTON
CSX
IQ
PYPL
LYFT
JBLU
JD
AGNC
MRVL
GEVO
ERIC
WBA
PDD
MRNA
VTRS
MSTR
QCOM
SNDL
APA
SBUX
RUN
HST
PANW
GILD
BKR
KDP
EXC
KHC
AMAT
CAN
MVIS
ON
MDLZ
TTD
EBAY
SABR
NVAX
BILI
ROKU
NNDM
WDC
VXRT
AZN
NFLX
OPK
FTNT
GERN
TSCO
VOD
FITB
PACB
PENN
FLEX
MCHP
TXN
MNST
PEP
QVCGA
ZM
STNE
ARDX
CHRD
TMUS
TCOM
GEN
PTEN
CPRT
PAA
GT
CRWD
NWL
BIDU
IOVA
DBX
DDOG
CELH
BCRX
BLNK
XP
DOCU
BLDP
TIGR
CZR
MTCH
Z
ENPH
AKBA
VLY
CLNE
ATOS
DXCM
COMM
BYND
FOXA
MLCO
ETSY
VERU
FUTU
CTSH
XEL
ADI
FAST
MNKD
ATER
RDFN
MAT
QUBT
ADMA
APPS
WYNN
WEN
ADBE
HON
SAVA
REAL
ARCC
TGTX
AEP
WW
IBRX
SLM
BGC
SGMO
NWSA
DVAX
CRON
PCAR
AMGN
FOLD
CGC
ESPR
SFIX
EXPE
DLTR
TRIP
STX
NDAQ
SONO
ALT
NXPI
GPRO
PAGP
CPB
FANG
MOMO
SIRI
AUPH
ROST
EA
CSGP
OKTA
HUT
NTNX
VKTX
IRWD
CG
XRX
EXEL
LBTYK
ZS
MAR
FSLR
NTES
COST
NKTR
XRAY
MGNI
ZION
UNIT
WDAY
ABUS
MCRB
HIVE
SBRA
HRTX
PLAY
SSRM
SWKS
VNET
ALTO
PSEC
HIMX
ACGL
EXAS
SNY
UPWK
BLMN
CHRS
VUZI
WSC
CHX
NTAP
ALLO
DHC
LIN
URBN
VIAV
OXLC
XERS
HOLX
SEDG
EDIT
TER
MRSN
LKQ
CBAT
PAYX
TEAM
SFM
STLD
BBIO
ADP
CTAS
ISRG
FATE
ONB
EVRG
GOGL
TTWO
GLYC
INCY
CME
HTHT
BNTX
GRWG
LSCC
CDNS
LULU
AKAM
KOPN
LPSN
CRIS
LBTYA
KNDI
LAB
FGEN
NAVI
TTEK
SBLK
APLS
LX
GOGO
ODFL
CPRX
VRTX
INMD
SVC
NEOG
ACB
CENX
CERS
ADSK
NFE
ILMN
CROX
INTU
WB
GOSS
CRSP
CAR
BMRN
QFIN
LNT
EXTR
GH
PFG
GDS
CNDT
AAOI
SIGA
CSIQ
GNTX
GSM
QRVO
TROW
NTLA
PGEN
CMRX
GLPI
ENTG
OPCH
AEHR
MDB
AVXL
IAC
HAS
CYTK
INSM
CCEP
CHRW
TRMB
MREO
XFOR
OGI
RYAAY
GLNG
LITE
SSNC
FIVN
GO
CAKE
PLYA
ARQT
FOX
HALO
GRPN
TANH
COLB
ASRT
VIR
NTRA
POWW
AMKR
CHTR
AMRX
VIRT
CARG
COO
CTMX
EXPI
SWBI
KLAC
FULT
AREC
TXG
VRNS
REKR
PRPL
ADAP
OLLI
AMTX
IONS
ADPT
ATEC
VRRM
HLIT
NMRK
HSIC
TNDM
OCUL
CRNC
NTRS
ACMR
SMTC
GRFS
FWONK
CODX
NEXT
ASML
KTOS
EYE
REG
ARWR
RMBS
ACRS
NEO
DGLY
HAIN
OZK
VSAT
AHCO
PRTS
ALLK
EXLS
MTC
LILAK
NVCR
FIVE
TVTX
EWBC
TECH
CORT
LBRDK
GPRE
CGNX
VFF
OSUR
PGNY
IMVT
TENB
LAUR
BEAM
TPIC
RVMD
MGNX
TXRH
IBKR
CHKP
CAPR
FTAI
IHRT
APLT
SNPS
AVDL
CGEN
SNDX
LNW
HOTH
ALDX
NYMT
CRVS
CRDF
GGAL
ITCI
PDCO
GWAV
TWST
IRBT
SSYS
COGT
VRSK
AQST
ORGO
STKL
LNTH
ULTA
FOSL
IRDM
CDW
DXLG
TTMI
QURE
PPC
KURA
SDGR
SAGE
YY
BRKR
NBIX
BMRA
PTGX
ALGN
PINC
AGAE
CDNA
VANI
SLS
BZUN
GBDC
RRR
TW
WTW
AXSM
FCEL
PRQR
CDLX
FULC
HOPE
BGFV
FHB
MXL
CVBF
CRNT
FNKO
PTC
QDEL
AUTL
LQDA
PLCE
WIX
INO
CLDX
SATS
SVRA
PHUN
MBOT
DENN
ETNB
VERI
PENG
OMER
JBHT
SHOO
BTCS
RPAY
RPD
LPRO
SBAC
CINF
SBGI
DNLI
PDSB
ALNY
NWS
REGN
VCYT
CFFN
VNOM
ACIW
ZG
BLIN
GSAT
FTDR
PTCT
SPWH
RCKT
FTEK
VNDA
HQY
NWBI
ACHC
COOP
AMCX
IMUX
ALEC
SWTX
LPLA
AVT
RILY
INVA
PZZA
VRNT
ARAY
VYGR
MYGN
SGRY
HCSG
WERN
BRY
ANY
CABA
AZTA
MLKN
DOX
WVE
ATYR
NIU
MNMD
LOGI
ZYME
CDXS
GIII
SPRO
IEP
LWLG
KLIC
GMAB
UBSI
EOLS
AGIO
AKRO
SRRK
TOUR
MDXG
OVID
BPMC
BHF
PODD
FLWS
JAZZ
MIDD
VRSN
RARE
ARCT
DPZ
BDTX
SPT
STAA
MESA
TSEM
ADTN
CALM
NMIH
BL
APPN
HCAT
AXON
RYTM
AMSC
IART
UPBD
AMBA
ILPT
MKSI
OTEX
AEMD
ERNA
MASI
PCRX
TRUP
IFRX
PSNL
ZLAB
XNET
FFIV
PXLW
TRUE
IMMR
PERI
LVO
FRPT
ARVN
REPL
GTEC
ICLR
OPI
SEIC
ABTS
SFNC
LEDS
ACET
EHTH
GNPX
ABAT
RAPT
PLAB
UONEK
ATSG
STRO
ONCY
USEG
WING
VRDN
BPOP
HDSN
SGBX
KOD
CRUS
KIRK
MIST
TBPH
ADIL
VRNA
FIBK
RGEN
ORMP
BECN
CRMD
CYRX
JKHY
ARLP
OMEX
OSW
SYPR
TCBI
MPWR
SNBR
CBSH
CBRL
FLGT
ZKIN
FORM
ROP
TH
LAMR
MRIN
HWC
STGW
NTCT
EYPT
VECO
FFIN
MTSI
RBBN
MELI
CLSD
BTOG
IZEA
METC
IDXX
MRCY
IDYA
MMYT
ANSS
CHEF
AXTI
EZPW
RGNX
SKYW
LIVN
PRDO
EQIX
IMAB
CCRN
ITRM
DOMO
PPBI
VCEL
ORLY
ACLS
PETS
PRTA
CYBR
CRNX
REYN
PBYI
PNFP
CHDN
WAFD
XAIR
HUBG
ODP
LFMD
OMCL
JACK
MITK
SYNA
ZD
QNCX
RRGB
BKYI
BYSI
SUPN
SSP
SHIP
RGLD
GDYN
JFIN
GSIT
BAND
PCH
SIMO
CPIX
TBBK
BRKL
INTZ
XENE
IRTC
ACIU
NERV
OPRA
TRI
PMCB
NMFC
WTFC
OCSL
PHLT
VRME
SY
UTHR
PEGA
PI
TLSA
ATRC
AACG
SANM
GALT
UCTT
WATT
CLAR
POWI
EEFT
CLRO
PCTY
WRAP
EQ
MANH
KRNT
GILT
KNSA
RAIL
TRVI
ZYXI
COLM
SBCF
AAON
BWIN
XNCR
OLED
POAI
QLYS
SAIC
CRTO
VREX
STIM
PSTV
ITRI
ANGO
EPIX
RGLS
BJRI
LOVE
NXST
INOD
TILE
CLRB
AIOT
GLDD
MEOH
WWD
RDNT
PHAT
VVPR
ERII
PRGS
ZBRA
QNST
FFBC
CMTL
MNRO
QTRX
EVER
ATOM
SLAB
RMNI
ASND
CLIR
MRTN
COLL
MMSI
TBCH
POOL
NWE
BLFS
FWRD
DNTH
ALTR
AMED
ACTG
COHU
FRSX
MRUS
VBTX
MFIC
MERC
HNRG
STOK
FOXF
LIND
CATY
NICE
YMAB
VSTM
CCOI
AHG
INDP
MKTX
BKNG
SAIA
JRVR
RAVE
TAOP
CUE
NVEE
TCPC
AMPH
CVLT
PHIO
RUSHA
EKSO
LTBR
LPTH
KRNY
BWEN
SCYX
VRA
POET
DAKT
CNVS
ANAB
MIRM
HTLD
SLNO
IRD
KALV
SPTN
OSPN
ZUMZ
SCVL
ALRM
AXGN
CPSH
HSDT
FIZZ
PASG
IPGP
AOSL
UPLD
ATXS
RLMD
UFPI
NOTV
IMNN
SIBN
NCMI
DYAI
AGEN
HELE
HROW
WSFS
UMBF
CTLP
IGMS
LECO
IDCC
NSSC
SXTC
ARCB
MDGL
NTGR
ROAD
ENSG
TRMK
CAMT
VC
DIOD
BLKB
GLBS
BLBD
MEDP
PAYS
CSTL
CKPT
HEES
SIGI
VRCA
LILA
ECPG
LSTR
PATK
PRAA
ONC
STRL
LGND
CARM
BCYC
SYBX
CDZI
MNOV
NDLS
OCFC
OXSQ
CWST
HTBK
IMXI
SHYF
TFSL
LOPE
LASR
MRAM
RIGL
LOCO
SSSS
ICAD
AVAV
FRHC
SMSI
NNBR
YI
CLMT
BTAI
LRMR
CYCC
VICR
ICHR
TREE
DLPN
VTGN
IBIO
WSBC
TCMD
CENTA
INGN
URGN
NSIT
OTLK
ALGT
LGIH
CASY
RDWR
HCM
RMTI
NDSN
CTSO
CRDL
SLRX
CLLS
CTRM
RGP
VCTR
CSWC
SLDB
GREE
