date,nodes,pos_edges_cos,neg_edges_cos,pos_edges_ssa,neg_edges_ssa
2020-05-12,217,14558,5872,28810,16238
2020-05-13,217,14638,5804,28732,16230
2020-05-14,217,14554,5714,28558,16380
2020-05-15,217,15032,5472,28864,16084
2020-05-18,217,15274,5166,29474,15448
2020-05-19,217,15158,5088,29636,15228
2020-05-20,217,14842,5198,29036,15474
2020-05-21,217,15088,5550,28972,15422
2020-05-22,217,16688,4804,31242,14016
2020-05-25,217,19308,3930,33814,11690
2020-05-26,217,20404,3892,34526,10878
2020-05-27,217,20732,3786,34566,10606
2020-05-28,217,20982,3666,34228,10764
2020-05-29,217,21544,3882,33194,11478
2020-06-01,217,21902,3590,33490,11080
2020-06-02,217,22680,3246,35254,9634
2020-06-03,217,22938,3008,36486,8490
2020-06-04,217,22918,2936,37018,8170
2020-06-05,217,22378,2944,36912,8416
2020-06-08,217,21578,3024,35808,9038
2020-06-09,217,21598,3182,35418,9336
2020-06-10,217,21760,3410,35610,9668
2020-06-11,217,21672,3512,35398,9658
2020-06-12,217,21658,3318,35450,9528
2020-06-15,217,21578,3482,35392,9620
2020-06-16,217,21208,3694,34754,10214
2020-06-17,217,20894,3910,34590,10474
2020-06-18,217,20536,4002,34530,10630
2020-06-19,217,19224,3872,34262,10692
2020-06-22,217,17022,4178,32718,11868
2020-06-23,217,15512,4352,31102,13108
2020-06-24,217,14614,4544,29088,14876
2020-06-29,217,13138,4868,27078,16846
2020-06-30,217,12202,6326,25168,19280
2020-07-01,217,12660,6524,25656,18626
2020-07-02,217,14270,6024,27656,17054
2020-07-03,217,16352,5202,30064,14486
2020-07-06,217,18880,4364,32400,12208
2020-07-07,217,21074,3704,34450,10318
2020-07-08,217,22198,3724,35000,10098
2020-07-09,217,22908,3888,35300,10006
2020-07-10,217,23138,4136,35290,10236
2020-07-13,217,22996,4026,34646,10618
2020-07-14,217,22128,4534,33198,11866
2020-07-15,217,21424,5068,31914,13110
2020-07-16,217,21296,4768,31516,13422
2020-07-17,217,21870,4008,33050,11886
2020-07-20,217,22406,3738,34358,10772
2020-07-21,217,23132,3434,35744,9600
2020-07-22,217,24112,3132,36866,8848
2020-07-23,217,25426,2712,38480,7342
2020-07-24,217,27594,2084,40126,5876
2020-07-27,217,30080,1556,41648,4620
2020-07-28,217,32240,1340,41958,4236
2020-07-29,217,33914,1324,41784,3810
2020-07-30,217,34910,1302,41438,3724
2020-07-31,217,36066,1282,41870,3758
2020-08-03,217,36114,1290,41698,4118
2020-08-04,217,35156,1340,40788,4658
2020-08-05,217,33654,1434,41326,3868
2020-08-06,217,32144,1622,39922,5266
2020-08-07,217,30918,1676,39746,5986
2020-08-10,217,27780,1890,38388,7090
2020-08-11,217,22764,2340,36602,8738
2020-08-12,217,17556,3480,32806,12124
2020-08-13,217,16218,5134,29454,15638
2020-08-14,217,16396,6110,28426,16896
2020-08-17,217,15958,6344,27826,17354
2020-08-18,217,16232,6598,27766,17154
2020-08-19,217,15998,6954,26810,18134
2020-08-20,217,15830,7214,26022,19018
2020-08-21,217,15644,7546,25424,19788
2020-08-24,217,15072,7958,24884,20530
2020-08-25,217,14540,8122,24648,20736
2020-08-26,217,14196,7736,24532,20746
2020-08-27,217,14170,7076,24848,20338
2020-08-28,217,14120,6928,25060,19990
2020-08-31,217,14090,6482,25446,19330
2020-09-01,217,13762,6706,25626,19228
2020-09-02,217,13470,7090,25458,19256
2020-09-03,217,13638,7362,24946,19534
2020-09-04,217,14362,7096,25214,19548
2020-09-07,217,14824,6592,25616,18936
2020-09-08,217,15424,5956,26432,18062
2020-09-09,217,16366,5012,28676,15842
2020-09-10,217,17464,4498,30700,14156
2020-09-11,217,18724,4186,32258,12842
2020-09-14,217,18498,4068,31960,12930
2020-09-15,217,17354,4292,30526,13924
2020-09-16,217,16212,4622,29808,14848
2020-09-17,217,16042,4686,29436,14838
2020-09-18,217,16050,4462,29850,14566
2020-09-21,217,16864,4228,31324,13528
2020-09-22,217,16768,4418,31184,13714
2020-09-23,217,16800,4364,31298,13626
2020-09-24,217,16666,4010,31738,13166
2020-09-25,217,16622,3660,32302,12390
2020-09-28,217,16344,3790,31456,13142
2020-09-29,217,16152,4020,30856,13844
2020-09-30,217,15622,4780,29194,15798
2020-10-09,217,15642,5220,28256,16770
2020-10-12,217,17764,3860,31054,13888
2020-10-13,217,20450,3116,34760,10544
2020-10-14,217,21710,2788,37010,8550
2020-10-15,217,22476,2696,37834,7772
2020-10-16,217,22754,2868,38324,7566
2020-10-19,217,22450,3134,37696,7968
2020-10-20,217,22264,2960,37624,8034
2020-10-21,217,21930,2838,37244,8196
2020-10-22,217,21620,2536,37418,8020
2020-10-23,217,21172,2438,37898,7626
2020-10-26,217,21304,2500,37472,7830
2020-10-27,217,21580,2730,36934,8268
2020-10-28,217,21440,2728,36866,8324
2020-10-29,217,21146,2784,36956,8556
2020-10-30,217,20026,2714,36018,9078
2020-11-02,217,18388,3208,33202,11514
2020-11-03,217,17212,3992,30632,13818
2020-11-04,217,16480,4706,29322,15158
2020-11-05,217,16346,5438,28862,15980
2020-11-06,217,16880,5616,29988,15324
2020-11-09,217,17520,5326,31088,14382
2020-11-10,217,17412,5232,31348,14116
2020-11-11,217,17204,5388,30770,14592
2020-11-12,217,17016,5680,30026,15364
2020-11-13,217,16518,5806,29022,16262
2020-11-16,217,16168,6190,28562,16704
2020-11-17,217,15958,6378,28388,16904
2020-11-18,217,15886,6594,28100,17006
2020-11-19,217,16108,6726,27838,17172
2020-11-20,217,16266,6930,27936,17326
2020-11-23,217,16326,7580,27258,18164
2020-11-24,217,16034,8156,26414,18704
2020-11-25,217,15832,8458,25650,19342
2020-11-26,217,15828,8804,25252,20076
2020-11-27,217,15486,9046,24730,20830
2020-11-30,217,14568,9510,23936,21364
2020-12-01,217,14138,9682,23450,21598
2020-12-02,217,13848,9794,23314,21472
2020-12-03,217,13770,9642,23518,20916
2020-12-04,217,13614,9002,23452,21132
2020-12-07,217,12878,8746,23244,21326
2020-12-08,217,12102,9224,23136,21760
2020-12-09,217,12204,9244,23554,21198
2020-12-10,217,13768,9228,24560,20264
2020-12-11,217,15620,9400,25856,19638
2020-12-14,217,17118,9826,26512,19438
2020-12-15,217,17960,10282,26554,19502
2020-12-16,217,18418,10764,26292,19928
2020-12-17,217,18632,11084,26412,19888
2020-12-18,217,18586,11180,26356,19902
2020-12-21,217,18290,11234,26022,20054
2020-12-22,217,18044,11402,25614,20444
2020-12-23,217,17922,11330,25284,20808
2020-12-24,217,17486,11036,25150,20484
2020-12-25,217,17078,10556,25278,20262
2020-12-28,217,16504,9464,25390,20182
2020-12-29,217,15730,8444,25716,19662
2020-12-30,217,14702,7878,26068,19046
2020-12-31,217,13586,7030,26322,18124
2021-01-04,217,13160,6228,26818,17482
2021-01-05,217,13274,5894,27072,17288
2021-01-06,217,15216,5738,29032,15638
2021-01-07,217,17050,5692,30438,14822
2021-01-08,217,18210,5510,30372,14810
2021-01-11,217,17960,5768,30182,14882
2021-01-12,217,17144,6166,29398,15736
2021-01-13,217,16676,6292,28984,15988
2021-01-14,217,16162,6952,28540,16512
2021-01-15,217,15620,7836,27840,17240
2021-01-18,217,15334,8320,27594,17484
2021-01-19,217,15332,8616,27256,17834
2021-01-20,217,15284,8838,26654,18334
2021-01-21,217,14872,8718,26184,18812
2021-01-22,217,14204,8462,25794,19126
2021-01-25,217,13684,8234,25452,19670
2021-01-26,217,13942,7970,25732,19544
2021-01-27,217,14478,7770,26038,19316
2021-01-28,217,15512,7084,27276,17794
2021-01-29,217,17218,5972,29524,15788
2021-02-01,217,18354,5286,31078,13998
2021-02-02,217,19262,4890,32000,12962
2021-02-03,217,19700,4724,32286,12594
2021-02-04,217,19720,4568,32564,12354
2021-02-05,217,19510,4786,32116,13000
2021-02-08,217,19124,4954,31332,13582
2021-02-09,217,18950,5138,31082,13980
2021-02-10,217,18264,5632,30436,14782
2021-02-18,217,17942,5514,30814,14644
2021-02-19,217,17312,5378,30798,14468
2021-02-22,217,16614,5248,30194,14708
2021-02-23,217,15978,5712,28464,16476
2021-02-24,217,15864,6278,27362,17730
2021-02-25,217,15818,7212,25878,19274
2021-02-26,217,16228,8006,25164,20130
2021-03-01,217,16914,8982,25154,20688
2021-03-02,217,17138,9596,24928,20910
2021-03-03,217,17450,10010,24964,21060
2021-03-04,217,17784,10434,25066,20988
2021-03-05,217,18008,10668,25044,21024
2021-03-08,217,18014,10922,24860,21336
2021-03-09,217,18084,9964,25368,20688
2021-03-10,217,18066,8586,26062,19856
2021-03-11,217,17818,7946,26888,18972
2021-03-12,217,17314,7358,27744,17886
2021-03-15,217,16884,6520,28686,16692
2021-03-16,217,16954,5606,29840,15522
2021-03-17,217,17070,5134,30678,14420
2021-03-18,217,16452,5914,29574,15696
2021-03-19,217,15590,6556,28574,16582
2021-03-22,217,14158,7382,27030,17902
2021-03-23,217,13518,7652,25924,18640
2021-03-24,217,13122,7514,25484,19096
2021-03-25,217,12914,7432,25242,19444
2021-03-26,217,12852,7344,25264,19496
2021-03-29,217,13186,6704,25664,19240
2021-03-30,217,14056,6710,25812,19056
2021-03-31,217,14670,6654,25458,19264
2021-04-01,217,15268,6544,25848,18678
2021-04-02,217,16026,6446,26844,17730
2021-04-06,217,16920,6800,27448,17290
2021-04-07,217,16938,7018,27464,17236
2021-04-08,217,16632,7892,26990,17738
2021-04-09,217,16418,8356,26828,18312
2021-04-12,217,16180,7754,27276,17984
2021-04-13,217,15924,6390,28232,17048
2021-04-14,217,16040,5656,29114,16104
2021-04-15,217,15730,5254,29818,15000
