epoch,loss
1,0.5278344046653664
2,0.31578488679524624
3,0.2627829342028037
4,0.2413958040569087
5,0.22851187843253248
6,0.21934654473067786
7,0.21178188201907802
8,0.20514789575026227
9,0.19892903625056158
10,0.19283444594322685
11,0.1868852615563452
12,0.18098209039784013
13,0.17540856156236184
14,0.17034954422481252
15,0.16573617658853587
16,0.1613785142509352
17,0.15735962059815395
18,0.1535054320401486
19,0.1497617962965013
20,0.14621021454670335
21,0.14275732892044857
22,0.13943762364173098
23,0.1361797353479436
24,0.13302285008522166
25,0.12993770076094993
26,0.12694219435286366
27,0.12392988748846223
28,0.12097411792476519
29,0.11807113384796387
30,0.11522886802265399
