date,n_nodes,cos_pos,ssa_pos,pred_pos,overlap_cos_pred_pos,overlap_ssa_pred_pos,overlap_cos_ssa_pos,cos_neg,ssa_neg,pred_neg,overlap_cos_pred_neg,overlap_ssa_pred_neg,overlap_cos_ssa_neg,ssa_pos_neg_overlap,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-12,217,18066,27556,13449,8959,12859,18066,7140,17972,8855,3553,8292,7140,0,33,7
2020-05-13,217,18128,27430,13245,8978,12878,18128,7324,17998,9156,3632,8562,7324,0,34,7
2020-05-14,217,18110,27340,13231,8971,12860,18110,7384,18168,9066,3650,8516,7384,0,32,6
2020-05-15,217,18042,27052,13044,8893,12641,18042,7594,18380,9358,3734,8619,7594,0,56,14
2020-05-18,217,17784,26774,12939,8699,12410,17784,7806,18664,9266,3787,8534,7806,0,62,31
2020-05-19,217,17708,26670,13030,8705,12473,17708,7736,18698,9438,3786,8639,7736,0,63,25
2020-05-20,217,17366,26282,12707,8545,12155,17366,7962,18994,9228,3860,8559,7962,0,35,15
2020-05-21,217,17004,25766,12667,8372,11971,17004,8268,19466,9349,4011,8715,8268,0,36,41
2020-05-22,217,17238,26212,13139,8421,12158,17238,7496,19064,9605,3603,8614,7496,0,108,121
2020-05-25,217,17800,27484,13641,8717,12805,17800,6338,17818,8883,3055,8040,6338,0,102,93
2020-05-26,217,18108,28308,13884,8879,13167,18108,6120,17164,8467,2974,7731,6120,0,102,65
2020-05-27,217,18304,28890,13820,8959,13327,18304,6154,16662,8514,3014,7729,6154,0,106,42
2020-05-28,217,18434,29290,14067,9109,13640,18434,6126,16156,8346,3022,7593,6126,0,66,25
2020-05-29,217,18796,29844,14502,9342,14208,18796,6316,15698,7744,3133,7304,6316,0,22,10
2020-06-01,217,19142,30226,14472,9467,14097,19142,6180,15230,7556,3065,7007,6180,0,32,3
2020-06-02,217,19600,31126,14714,9741,14438,19600,5664,14338,7020,2817,6537,5664,0,9,3
2020-06-03,217,19670,32390,15187,9794,14822,19670,5118,13142,6530,2540,5951,5118,0,4,2
2020-06-04,217,19508,32906,15142,9586,14858,19508,4894,12758,5888,2435,5548,4894,0,4,1
2020-06-05,217,18836,32434,15226,9364,14859,18836,4912,13106,6167,2420,5719,4912,0,1,1
2020-06-08,217,18066,31748,14740,8900,14322,18066,5028,13788,6917,2455,6145,5028,0,17,11
2020-06-09,217,18104,31534,13914,8808,13573,18104,5032,14002,8033,2445,6524,5032,0,90,34
2020-06-10,217,18330,31164,14074,9012,13831,18330,5324,14440,7996,2611,6849,5324,0,64,15
2020-06-11,217,18210,30752,14079,8975,13859,18210,5518,14750,7836,2732,7004,5518,0,44,5
2020-06-12,217,18036,30120,13627,8648,13339,18036,5546,15308,7787,2728,6979,5546,0,74,7
2020-06-15,217,17756,29972,13958,8698,13530,17756,5450,15364,7453,2692,6665,5450,0,31,1
2020-06-16,217,17428,29770,13898,8544,13310,17428,5586,15520,7542,2765,6742,5586,0,17,0
2020-06-17,217,17318,29976,14128,8560,13546,17318,5656,15456,7274,2780,6622,5656,0,11,5
2020-06-18,217,17306,30338,14267,8586,13742,17306,5428,14954,7420,2685,6668,5428,0,13,7
2020-06-19,217,17208,30502,14225,8355,13659,17208,5158,14832,7356,2547,6526,5158,0,35,5
2020-06-22,217,16864,30476,14874,8345,14333,16864,5018,14672,6928,2446,6424,5018,0,26,21
2020-06-23,217,16718,30132,13745,8271,13525,16718,5084,15032,8021,2518,7024,5084,0,21,3
2020-06-24,217,17138,30348,14062,8360,13774,17138,5068,14874,7798,2491,6867,5068,0,60,15
2020-06-29,217,17110,29876,14469,8386,13949,17110,5398,15194,7761,2659,6971,5398,0,64,12
2020-06-30,217,17292,29716,14152,8503,13795,17292,6066,15580,8098,3010,7351,6066,0,59,10
2020-07-01,217,18058,30492,15021,8922,14481,18058,5688,14752,7321,2810,6859,5688,0,27,12
2020-07-02,217,19754,33268,16197,9749,15697,19754,4382,12164,6111,2138,5519,4382,0,43,30
2020-07-03,217,22866,37970,18937,11372,18496,22866,2976,7992,3686,1407,3425,2976,0,25,52
2020-07-06,217,26976,42488,20709,13080,20370,26976,1722,3858,2075,715,1489,1722,0,260,76
2020-07-07,217,30782,44518,21755,15035,21571,30782,1254,2162,1107,490,823,1254,0,160,75
2020-07-08,217,33248,44936,21873,16214,21768,33248,1084,1768,1047,437,718,1084,0,191,67
2020-07-09,217,35214,45364,22009,17184,21930,35214,900,1392,1093,354,574,900,0,285,56
2020-07-10,217,36254,45676,22404,17849,22330,36254,778,1146,580,210,363,778,0,139,63
2020-07-13,217,37130,45874,22269,18149,22211,37130,666,958,718,244,375,666,0,178,52
2020-07-14,217,37872,45988,22546,18623,22468,37872,570,864,552,183,312,570,0,129,68
2020-07-15,217,38456,46060,22805,19038,22730,38456,488,788,471,129,272,488,0,121,66
2020-07-16,217,38798,46080,22827,19240,22753,38798,450,780,478,138,298,450,0,107,67
2020-07-17,217,39140,46082,22938,19457,22856,39140,442,778,418,124,288,442,0,80,76
2020-07-20,217,39410,46104,22917,19581,22840,39410,426,752,314,85,233,426,0,52,68
2020-07-21,217,39644,46128,23005,19727,22919,39644,430,726,265,87,226,430,0,22,78
2020-07-22,217,39888,46158,22958,19843,22900,39888,410,704,326,113,255,410,0,39,54
2020-07-23,217,40544,46222,23095,20246,23035,40544,344,644,250,87,216,344,0,8,58
2020-07-24,217,41082,46262,23041,20495,23018,41082,282,608,310,102,263,282,0,16,21
2020-07-27,217,41786,46312,22938,20707,22907,41786,204,558,317,56,223,204,0,69,29
2020-07-28,217,42496,46348,22713,20909,22710,42496,128,502,389,45,222,128,0,109,3
2020-07-29,217,42824,46350,15594,14347,15548,42824,112,138,2896,45,56,112,0,2454,3
2020-07-30,217,42508,46336,14674,13458,14615,42508,122,134,3735,60,66,122,0,3069,0
2020-07-31,217,42160,45908,22782,20885,22652,42160,338,540,355,146,244,338,0,50,14
2020-08-03,217,41302,45088,22647,20601,22448,41302,574,1340,709,261,643,574,0,20,23
2020-08-04,217,40066,44714,22542,20015,22329,40066,1224,1750,869,585,840,1224,0,15,22
