epoch,loss
1,0.39922138730177575
2,0.14520655406762695
3,0.08317045488052757
4,0.06176913369553006
5,0.0512795981032897
6,0.04350366685837749
7,0.037185314018352435
8,0.031910078277457836
9,0.027317068237687873
10,0.023092495879906475
11,0.019182433475770453
12,0.015314251399947187
13,0.01161611346859627
14,0.007765033012997924
15,0.004516081821606323
16,0.001717005711969087
17,-0.0005933312725205516
18,-0.002599606174261216
19,-0.004458737821389725
20,-0.006271775711708627
21,-0.008074369686534615
22,-0.009890792097210142
23,-0.011692620565818941
24,-0.013378131463415878
25,-0.015144805508301044
26,-0.016955249963833928
27,-0.018795630197495423
28,-0.020447961144330992
29,-0.02206663860827602
30,-0.02365970285169006
