date,nodes,pos_edges_cos,neg_edges_cos,pos_edges_ssa,neg_edges_ssa
2020-05-07,486,115158,12490,192264,40382
2020-05-08,486,105992,13338,185252,46734
2020-05-11,486,101340,13764,181480,50816
2020-05-12,486,95324,15810,173494,58358
2020-05-13,486,105844,14076,183556,49060
2020-05-14,486,120120,12098,193692,39796
2020-05-15,486,120590,13808,189988,43052
2020-05-18,486,118556,13248,189982,42794
2020-05-19,486,118168,12912,190710,41988
2020-05-20,486,119078,12986,190132,42484
2020-05-21,486,118730,13290,188850,43820
2020-05-22,486,118134,13652,187822,45186
2020-05-26,486,120118,15116,185984,47130
2020-05-27,486,117496,17418,180370,52184
2020-05-28,486,115840,18514,179336,52908
2020-05-29,486,115970,18270,180114,51922
2020-06-01,486,118260,18122,181828,49636
2020-06-02,486,118646,19270,182360,49394
2020-06-03,486,122828,19170,184148,48008
2020-06-04,486,123878,20502,182490,49408
2020-06-05,486,126514,20734,182962,49476
2020-06-08,486,128772,21756,183340,49240
2020-06-09,486,128786,21660,184244,47562
2020-06-10,486,127568,20770,185114,45962
2020-06-11,486,125000,15260,192312,40284
2020-06-12,486,118856,11484,195408,37206
2020-06-15,486,124266,8676,206620,26856
2020-06-16,486,129394,8296,209150,24532
2020-06-17,486,135992,8284,210326,23502
2020-06-18,486,145732,8898,210508,23662
2020-06-19,486,151104,9828,208238,25842
2020-06-22,486,156854,11654,205304,28930
2020-06-23,486,160406,12826,203692,30038
2020-06-24,486,170054,12084,205136,28372
2020-06-25,486,174824,11546,205608,27782
2020-06-26,486,176320,11864,204888,27656
2020-06-29,486,176162,11876,205042,27594
2020-06-30,486,173426,12834,202914,29670
2020-07-01,486,168288,13218,200606,32002
2020-07-02,486,165068,11254,201798,31096
2020-07-06,486,161828,8734,205194,28434
2020-07-07,486,149348,7686,206380,27420
2020-07-08,486,132688,8444,202696,30674
2020-07-09,486,113808,11458,191630,41212
2020-07-10,486,110246,12018,189210,43290
2020-07-13,486,110566,10356,193310,38628
2020-07-14,486,108886,10732,193502,38166
2020-07-15,486,116652,9068,196970,35142
2020-07-16,486,121170,10234,192042,40066
2020-07-17,486,126376,11344,189350,42616
2020-07-20,486,127162,11590,188848,42726
2020-07-21,486,129632,11232,190242,41152
2020-07-22,486,131422,12544,188160,42956
2020-07-23,486,129162,15274,182048,50324
2020-07-24,486,120528,19664,173078,59820
2020-07-27,486,109890,24530,162144,70318
2020-07-28,486,100628,32178,153342,78726
2020-07-29,486,94228,35718,148652,82876
2020-07-30,486,90926,34604,147592,83448
2020-07-31,486,89306,33194,147716,82956
2020-08-03,486,88252,33040,148196,82782
2020-08-04,486,84342,31704,147688,82910
2020-08-05,486,78714,28902,147998,82782
2020-08-06,486,71430,28168,144174,85720
2020-08-07,486,67240,29934,137012,91320
2020-08-10,486,67154,31928,135788,93622
2020-08-11,486,67960,38152,131742,98252
2020-08-12,486,69050,40806,129576,100252
2020-08-13,486,69284,41058,128734,101262
2020-08-14,486,68706,41404,127474,103064
2020-08-17,486,68918,40928,127228,102702
2020-08-18,486,67670,40746,125734,104054
2020-08-19,486,66956,41112,125620,104388
2020-08-20,486,67864,39712,127862,102080
2020-08-21,486,70988,38198,133182,96794
2020-08-24,486,72696,38176,135374,94718
2020-08-25,486,73274,37814,136608,93310
2020-08-26,486,74382,38254,137156,91448
2020-08-27,486,73666,37346,137688,90862
2020-08-28,486,73322,37456,138748,91174
2020-08-31,486,73456,37370,139648,90330
2020-09-01,486,74694,37878,139678,89744
2020-09-02,486,76076,36086,141342,88610
2020-09-03,486,77368,33210,143830,85596
2020-09-04,486,79168,30058,147442,83008
2020-09-08,486,88896,22064,161306,70220
2020-09-09,486,89718,19646,165250,66556
2020-09-10,486,90344,17670,168652,62204
2020-09-11,486,92458,15726,173890,56230
2020-09-14,486,89514,15514,172526,57222
2020-09-15,486,87108,16454,167900,62698
2020-09-16,486,86492,17072,166210,64538
2020-09-17,486,85670,17924,164108,67044
2020-09-18,486,83366,17662,163082,67424
2020-09-21,486,89916,13778,178812,52502
2020-09-22,486,93860,13176,183824,47902
2020-09-23,486,97394,12800,185086,46386
2020-09-24,486,104926,11930,189180,42760
2020-09-25,486,106708,12440,187176,44710
2020-09-28,486,104280,12768,185664,46468
2020-09-29,486,102682,13550,182456,49588
