date,n_nodes,cos_pos,pred_pos,overlap_cos_pred_pos,cos_neg,pred_neg,overlap_cos_pred_neg,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-07,486,163488,107835,81054,4352,7643,2086,225,24
2020-05-08,486,151194,106439,75158,5814,8932,2816,63,33
2020-05-11,486,141660,101971,70497,7742,12146,3797,23,22
2020-05-12,486,128748,93726,63797,11486,18842,5665,78,15
2020-05-13,486,122516,92493,60812,13338,20191,6564,56,27
2020-05-14,486,121450,91622,60105,14574,21265,7208,139,31
2020-05-15,486,115732,82161,57310,18542,29240,9198,112,9
2020-05-18,486,113956,89903,56632,19580,22412,9723,28,15
2020-05-19,486,114306,89365,56813,19414,22620,9596,35,7
2020-05-20,486,114212,90790,56767,19134,21465,9520,25,6
2020-05-21,486,113388,86446,56302,19236,25701,9530,49,11
2020-05-22,486,112240,87425,55790,19332,23602,9600,15,11
2020-05-26,486,113352,85272,55337,18586,27295,9008,426,75
2020-05-27,486,112886,83616,55231,19226,28587,9432,316,62
2020-05-28,486,115110,87690,56404,17726,24956,8647,339,76
2020-05-29,486,118890,90192,56920,15418,21727,7098,1138,223
2020-06-01,486,125886,92352,60362,12518,21937,6031,1330,87
2020-06-02,486,133534,94733,64774,10932,19700,5356,863,36
2020-06-03,486,142654,95311,68032,9442,20663,4511,2438,120
2020-06-04,486,149748,98363,73081,9278,17297,4559,709,46
2020-06-05,486,158574,99522,77599,9168,16589,4468,951,69
2020-06-08,486,165226,101196,81501,9866,15482,4827,662,60
2020-06-09,486,169786,102297,84144,10714,13851,5274,296,42
2020-06-10,486,173042,103955,86056,11280,11538,5572,120,27
2020-06-11,486,174328,102199,86166,10506,13948,5165,425,56
2020-06-12,486,175282,102700,86910,9786,13936,4820,351,34
2020-06-15,486,177540,103453,88160,8958,12393,4403,183,27
2020-06-16,486,178708,104200,88883,9290,11375,4583,102,26
2020-06-17,486,179658,104556,89386,9358,11356,4637,80,20
2020-06-18,486,180238,104585,89683,9756,10879,4790,91,11
2020-06-19,486,181010,105046,90121,9780,11270,4869,66,9
2020-06-22,486,180842,106549,90085,10092,9220,4943,28,20
2020-06-23,486,179608,105740,89466,9786,10458,4859,55,11
2020-06-24,486,179720,104634,89460,8864,11389,4403,51,8
2020-06-25,486,177142,105683,87960,8582,9582,4140,65,26
2020-06-26,486,173520,104596,86368,9004,10578,4284,34,32
2020-06-29,486,169528,102022,84108,9780,11633,4372,59,42
2020-06-30,486,164480,101656,81331,10384,12242,5028,126,60
2020-07-01,486,157334,98157,77915,10754,16246,5167,184,101
2020-07-02,486,151584,97639,74824,9778,17123,4732,332,97
2020-07-06,486,142170,97496,70173,9134,16785,4387,373,102
2020-07-07,486,125970,90268,61839,11792,23869,5660,615,149
2020-07-08,486,112152,83599,55022,16982,29427,8160,496,179
2020-07-09,486,102780,70747,49281,24696,44661,12050,1345,245
2020-07-10,486,101448,78654,50033,27764,32872,13571,210,132
2020-07-13,486,100940,77791,49898,28062,34896,13887,128,65
2020-07-14,486,99038,82102,49085,29274,29547,14425,91,55
2020-07-15,486,103742,79003,51211,26232,34883,13019,154,41
2020-07-16,486,106470,79245,52398,25420,34888,12583,206,43
2020-07-17,486,109578,84692,54443,24070,28418,11999,43,12
2020-07-20,486,110456,79863,54846,23634,33953,11787,53,11
2020-07-21,486,113536,78861,54400,21562,35389,10570,1276,82
2020-07-22,486,116568,83164,57660,20316,29818,10043,95,29
2020-07-23,486,118068,81270,57924,19844,31528,9766,224,34
2020-07-24,486,115346,85263,54587,21268,25586,9177,1350,473
2020-07-27,486,111994,78687,54332,23680,34773,11603,640,86
