date,nodes,pos_edges_cos,neg_edges_cos,pos_edges_ssa,neg_edges_ssa
2020-05-12,217,18066,7140,37915,26042
2020-05-13,217,18128,7324,37731,26066
2020-05-14,217,18110,7384,37433,26144
2020-05-15,217,18042,7594,37219,26460
2020-05-18,217,17784,7806,37067,26684
2020-05-19,217,17708,7736,36943,26880
2020-05-20,217,17366,7962,36597,27124
2020-05-21,217,17004,8268,36267,27516
2020-05-22,217,17238,7496,36987,27198
2020-05-25,217,17800,6338,38687,26932
2020-05-26,217,18108,6120,39259,26768
2020-05-27,217,18304,6154,39427,26598
2020-05-28,217,18434,6126,39031,26212
2020-05-29,217,18794,6316,38879,25824
2020-06-01,217,19142,6180,38749,25056
2020-06-02,217,19600,5664,39861,25064
2020-06-03,217,19670,5118,40933,25080
2020-06-04,217,19508,4894,41321,25120
2020-06-05,217,18836,4912,41079,25712
2020-06-08,217,18066,5028,40949,26338
2020-06-09,217,18104,5032,40885,26304
2020-06-10,217,18330,5324,40521,26102
2020-06-11,217,18210,5518,39987,25802
2020-06-12,217,18036,5546,39547,26228
2020-06-15,217,17756,5450,39839,26620
2020-06-16,217,17428,5586,39429,26912
2020-06-17,217,17318,5656,39813,27232
2020-06-18,217,17306,5428,40099,26950
2020-06-19,217,17208,5158,40289,26878
2020-06-22,217,16864,5018,40221,26906
2020-06-23,217,16718,5084,39803,26760
2020-06-24,217,17138,5068,39609,26016
2020-06-29,217,17110,5398,38939,25936
2020-06-30,217,17292,6066,38037,25870
2020-07-01,217,18058,5688,38593,25232
2020-07-02,217,19754,4382,41191,23828
2020-07-03,217,22866,2976,43517,21298
2020-07-06,217,26976,1722,45185,18124
2020-07-07,217,30782,1254,45811,14864
2020-07-08,217,33248,1084,45987,12830
2020-07-09,217,35214,900,46185,11298
2020-07-10,217,36254,778,46307,10268
2020-07-13,217,37130,666,46417,9432
2020-07-14,217,37872,570,46513,8760
2020-07-15,217,38456,488,46591,8218
2020-07-16,217,38798,450,46621,7888
2020-07-17,217,39140,442,46625,7566
2020-07-20,217,39408,426,46657,7314
2020-07-21,217,39642,430,46629,7060
2020-07-22,217,39886,410,46657,6720
2020-07-23,217,40542,344,46727,6078
2020-07-24,217,41080,282,46767,5496
2020-07-27,217,41784,204,46879,4838
2020-07-28,217,42496,128,46955,4004
2020-07-29,217,42824,112,46973,3686
2020-07-30,217,42508,122,46963,4058
2020-07-31,217,42160,338,46749,4516
2020-08-03,217,41300,574,46429,5384
2020-08-04,217,40064,1224,45833,5522
2020-08-05,217,38446,1302,45713,6834
2020-08-06,217,35622,1382,45601,9740
2020-08-07,217,32024,1520,45439,13476
2020-08-10,217,26678,1860,44975,18622
2020-08-11,217,20418,3268,43221,24526
2020-08-12,217,16054,6200,39363,28726
2020-08-13,217,14956,7758,37099,29950
2020-08-14,217,14822,8080,36743,30214
2020-08-17,217,14588,7286,37249,30242
2020-08-18,217,14834,6660,38257,30032
2020-08-19,217,14736,6848,37947,30084
2020-08-20,217,14514,7112,37595,30408
2020-08-21,217,14446,7254,37059,30410
2020-08-24,217,14262,7498,36669,30266
2020-08-25,217,13874,7564,36035,30152
2020-08-26,217,13558,7368,36603,30724
2020-08-27,217,13428,7120,37059,30974
2020-08-28,217,13368,7170,37509,31180
2020-08-31,217,13486,7210,37629,31108
2020-09-01,217,13282,7618,37247,31116
2020-09-02,217,13084,7936,36959,31368
2020-09-03,217,13316,8460,36273,30920
2020-09-04,217,13770,8616,36085,31022
2020-09-07,217,14058,8518,36297,30888
2020-09-08,217,14200,8306,36621,30730
2020-09-09,217,14758,7650,37345,30064
2020-09-10,217,15488,7176,37867,29406
2020-09-11,217,16328,6760,38363,28436
2020-09-14,217,16566,7040,38071,28014
2020-09-15,217,16270,7784,37087,28092
2020-09-16,217,16282,8362,36513,28098
2020-09-17,217,16342,8620,35847,27924
2020-09-18,217,16276,8470,35765,27836
2020-09-21,217,16366,8228,36451,28084
2020-09-22,217,16430,8328,36465,27954
2020-09-23,217,16542,8162,36583,27814
2020-09-24,217,16666,7450,37243,27728
2020-09-25,217,16834,6848,38035,27422
2020-09-28,217,16900,6668,38477,27592
2020-09-29,217,17090,6444,38649,27062
2020-09-30,217,17350,6604,38381,26996
2020-10-09,217,17312,6776,38063,27266
2020-10-12,217,17722,5772,39147,26490
2020-10-13,217,18188,4880,40547,26004
2020-10-14,217,18214,4532,41069,25996
2020-10-15,217,18154,4538,40929,26410
2020-10-16,217,17980,4706,40879,26228
2020-10-19,217,17510,5036,40417,26758
2020-10-20,217,17422,5166,40189,26970
2020-10-21,217,17356,5202,40089,27284
2020-10-22,217,17322,5200,40233,27394
2020-10-23,217,17272,5118,40229,27294
2020-10-26,217,17104,5058,39983,27272
2020-10-27,217,17154,5546,39845,27498
2020-10-28,217,16888,5514,39805,27470
2020-10-29,217,16656,5420,39959,27912
2020-10-30,217,16134,5418,39747,28296
2020-11-02,217,15250,5864,39099,28996
2020-11-03,217,14806,6686,37781,29578
2020-11-04,217,14750,7316,36897,29634
2020-11-05,217,14938,7788,36493,29382
2020-11-06,217,15284,7442,37149,29058
2020-11-09,217,15412,6820,38325,29252
2020-11-10,217,15418,6568,38705,29550
2020-11-11,217,15262,6850,38211,29578
2020-11-12,217,15364,7404,37691,29590
2020-11-13,217,15182,8144,36443,29276
2020-11-16,217,15012,8694,35501,29352
2020-11-17,217,15004,8722,34893,29184
2020-11-18,217,15092,8786,34989,29272
2020-11-19,217,15138,8724,35033,29302
2020-11-20,217,15410,8744,35105,28862
2020-11-23,217,15838,8826,35031,28404
2020-11-24,217,16040,8792,35201,28576
2020-11-25,217,16102,8658,35279,28454
2020-11-26,217,16088,8706,35457,28748
2020-11-27,217,16020,8506,35627,28864
2020-11-30,217,16046,8308,35733,28422
2020-12-01,217,16344,8094,35591,27918
2020-12-02,217,16788,7670,36025,27026
2020-12-03,217,17130,7474,36757,27116
2020-12-04,217,17370,7336,37357,27010
2020-12-07,217,16786,7576,37065,27136
2020-12-08,217,15836,8160,36261,27940
2020-12-09,217,15310,8492,36073,28786
2020-12-10,217,15158,8464,36101,28936
2020-12-11,217,15542,8466,36427,28978
2020-12-14,217,15848,8788,36415,29020
2020-12-15,217,16058,9104,36193,29020
2020-12-16,217,16244,9206,36105,28790
2020-12-17,217,16412,9334,36153,28694
2020-12-18,217,16136,9398,35985,28824
2020-12-21,217,15722,9484,35807,29342
2020-12-22,217,15604,9748,35253,29292
2020-12-23,217,15648,10050,34247,28654
2020-12-24,217,15746,10140,34123,28798
2020-12-25,217,15658,10220,34427,28954
2020-12-28,217,15470,10168,34121,29110
2020-12-29,217,15292,10380,33929,29140
2020-12-30,217,15088,10998,33309,29314
2020-12-31,217,14872,11310,32743,28994
2021-01-04,217,14800,11468,32401,28728
2021-01-05,217,15044,11334,32915,28856
2021-01-06,217,15542,10478,34177,28774
2021-01-07,217,16210,9724,35249,28086
2021-01-08,217,16790,9076,36177,27698
2021-01-11,217,16912,8596,36815,27542
2021-01-12,217,16668,8548,36477,27796
2021-01-13,217,16846,8022,36983,27470
2021-01-14,217,17136,7644,37691,26886
2021-01-15,217,17306,7422,37917,26640
2021-01-18,217,17608,7230,38153,26450
2021-01-19,217,17718,7070,38285,26412
2021-01-20,217,17886,7000,38357,26278
2021-01-21,217,18034,6858,38437,25908
2021-01-22,217,17986,6640,38499,25540
2021-01-25,217,17866,6156,38431,25198
2021-01-26,217,17940,5956,38645,25474
2021-01-27,217,18152,5896,38781,25412
2021-01-28,217,18490,5680,39159,25084
2021-01-29,217,18914,5336,39865,24990
2021-02-01,217,19112,4980,40089,24930
2021-02-02,217,19202,4958,40101,24696
2021-02-03,217,19094,5198,40215,24922
2021-02-04,217,18686,5300,39859,24950
2021-02-05,217,18038,5728,39323,25496
2021-02-08,217,17366,6082,38977,26480
2021-02-09,217,17072,6464,38689,27138
2021-02-10,217,16476,7084,38251,27912
2021-02-18,217,16184,7300,38303,28238
2021-02-19,217,15842,7638,37831,28758
2021-02-22,217,15326,7754,37655,29434
2021-02-23,217,15004,8258,36943,30278
2021-02-24,217,15008,8694,36507,30490
2021-02-25,217,14838,9416,35887,30844
2021-02-26,217,14954,9752,35783,30874
2021-03-01,217,15106,9936,35465,30864
2021-03-02,217,15214,9928,35389,30656
2021-03-03,217,15344,9968,35341,30534
2021-03-04,217,15374,10012,35277,30400
2021-03-05,217,15294,10088,34929,30326
2021-03-08,217,15046,10254,34769,30424
2021-03-09,217,15106,9616,35557,30390
2021-03-10,217,15330,8762,36421,30186
2021-03-11,217,15320,8440,37089,30240
2021-03-12,217,15392,8512,36771,29884
2021-03-15,217,15836,8912,36009,28972
2021-03-16,217,16554,9280,35505,27738
2021-03-17,217,17300,9578,35425,27200
2021-03-18,217,17532,9962,35163,27372
2021-03-19,217,17724,10254,34465,27054
2021-03-22,217,17534,10810,33817,27122
2021-03-23,217,17510,11016,33479,26888
2021-03-24,217,17712,10580,33661,26440
2021-03-25,217,18118,9944,34451,26010
2021-03-26,217,18268,9714,34647,25760
2021-03-29,217,18276,9478,34719,25658
2021-03-30,217,18294,9276,34961,25750
2021-03-31,217,18084,9020,34879,25886
2021-04-01,217,17856,8516,35419,26446
2021-04-02,217,17538,8164,36183,26754
2021-04-06,217,17394,8024,36527,27054
2021-04-07,217,16696,8012,36193,27820
2021-04-08,217,15782,8494,35959,28614
2021-04-09,217,15144,8704,35863,29496
2021-04-12,217,14724,8224,35913,29920
2021-04-13,217,14360,7286,36501,30062
2021-04-14,217,14208,6956,37121,29730
2021-04-15,217,14362,6860,37383,29458
2021-04-16,217,14284,6962,36997,29190
2021-04-19,217,14022,6804,37015,28978
2021-04-20,217,14270,6732,37359,28852
2021-04-21,217,14382,6848,37459,29044
2021-04-22,217,14102,7240,37095,29318
2021-04-23,217,13938,7976,36153,29842
2021-04-26,217,13916,8420,35409,29742
2021-04-27,217,13960,8544,35623,30026
2021-04-28,217,13916,8802,35371,30026
2021-04-29,217,14104,8962,34951,29716
2021-04-30,217,14156,9224,34359,29512
2021-05-06,217,14122,9662,33731,29508
2021-05-07,217,13718,10074,32885,29640
2021-05-10,217,13446,10182,33343,30350
2021-05-11,217,13340,10322,33623,30908
2021-05-12,217,13276,10456,33737,31178
