code,dt
MCO,2020-09-08
MDLZ,2020-09-08
MDT,2020-09-08
MET,2020-09-08
META,2020-09-08
MGM,2020-09-08
MHK,2020-09-08
MKC,2020-09-08
MKTX,2020-09-08
MLM,2020-09-08
MMC,2020-09-08
MMM,2020-09-08
MNST,2020-09-08
MO,2020-09-08
MOH,2020-09-08
MOS,2020-09-08
MPC,2020-09-08
MPWR,2020-09-08
MRK,2020-09-08
MRNA,2020-09-08
MS,2020-09-08
MSCI,2020-09-08
MSFT,2020-09-08
MSI,2020-09-08
MTB,2020-09-08
MTCH,2020-09-08
MTD,2020-09-08
MU,2020-09-08
NCLH,2020-09-08
NDAQ,2020-09-08
NDSN,2020-09-08
NEE,2020-09-08
NEM,2020-09-08
NFLX,2020-09-08
NI,2020-09-08
NKE,2020-09-08
NOC,2020-09-08
NOW,2020-09-08
NRG,2020-09-08
NSC,2020-09-08
NTAP,2020-09-08
NTRS,2020-09-08
NUE,2020-09-08
NVDA,2020-09-08
NVR,2020-09-08
NWS,2020-09-08
NWSA,2020-09-08
NXPI,2020-09-08
O,2020-09-08
ODFL,2020-09-08
OKE,2020-09-08
OMC,2020-09-08
ON,2020-09-08
ORCL,2020-09-08
ORLY,2020-09-08
OXY,2020-09-08
PANW,2020-09-08
PARA,2020-09-08
PAYC,2020-09-08
PAYX,2020-09-08
PCAR,2020-09-08
PCG,2020-09-08
PEG,2020-09-08
PEP,2020-09-08
PFE,2020-09-08
PFG,2020-09-08
PG,2020-09-08
PGR,2020-09-08
PH,2020-09-08
PHM,2020-09-08
PKG,2020-09-08
PLD,2020-09-08
PM,2020-09-08
PNC,2020-09-08
PNR,2020-09-08
PNW,2020-09-08
PODD,2020-09-08
POOL,2020-09-08
PPG,2020-09-08
PPL,2020-09-08
PRU,2020-09-08
PSA,2020-09-08
PSX,2020-09-08
PTC,2020-09-08
PWR,2020-09-08
PYPL,2020-09-08
QCOM,2020-09-08
RCL,2020-09-08
REG,2020-09-08
REGN,2020-09-08
RF,2020-09-08
RJF,2020-09-08
RL,2020-09-08
RMD,2020-09-08
ROK,2020-09-08
ROL,2020-09-08
ROP,2020-09-08
ROST,2020-09-08
RSG,2020-09-08
RTX,2020-09-08
RVTY,2020-09-08
SBAC,2020-09-08
SBUX,2020-09-08
SCHW,2020-09-08
SHW,2020-09-08
SJM,2020-09-08
SLB,2020-09-08
SMCI,2020-09-08
SNA,2020-09-08
SNPS,2020-09-08
SO,2020-09-08
SPG,2020-09-08
SPGI,2020-09-08
SRE,2020-09-08
STE,2020-09-08
STLD,2020-09-08
STT,2020-09-08
STX,2020-09-08
STZ,2020-09-08
SWK,2020-09-08
SWKS,2020-09-08
SYF,2020-09-08
SYK,2020-09-08
SYY,2020-09-08
T,2020-09-08
TAP,2020-09-08
TDG,2020-09-08
TDY,2020-09-08
TECH,2020-09-08
TEL,2020-09-08
TER,2020-09-08
TFC,2020-09-08
TGT,2020-09-08
TJX,2020-09-08
TKO,2020-09-08
TMO,2020-09-08
TMUS,2020-09-08
TPL,2020-09-08
TPR,2020-09-08
TRGP,2020-09-08
TRMB,2020-09-08
TROW,2020-09-08
TRV,2020-09-08
TSCO,2020-09-08
TSLA,2020-09-08
TSN,2020-09-08
TT,2020-09-08
TTWO,2020-09-08
TXN,2020-09-08
TXT,2020-09-08
TYL,2020-09-08
UAL,2020-09-08
UBER,2020-09-08
UDR,2020-09-08
UHS,2020-09-08
ULTA,2020-09-08
UNH,2020-09-08
UNP,2020-09-08
UPS,2020-09-08
URI,2020-09-08
USB,2020-09-08
V,2020-09-08
VICI,2020-09-08
VLO,2020-09-08
VMC,2020-09-08
VRSK,2020-09-08
VRSN,2020-09-08
VRTX,2020-09-08
VST,2020-09-08
VTR,2020-09-08
VTRS,2020-09-08
VZ,2020-09-08
WAB,2020-09-08
WAT,2020-09-08
WBA,2020-09-08
WBD,2020-09-08
WDAY,2020-09-08
WDC,2020-09-08
WEC,2020-09-08
WELL,2020-09-08
WFC,2020-09-08
WM,2020-09-08
WMB,2020-09-08
WMT,2020-09-08
WRB,2020-09-08
WSM,2020-09-08
WST,2020-09-08
WTW,2020-09-08
WY,2020-09-08
WYNN,2020-09-08
XEL,2020-09-08
XOM,2020-09-08
XYL,2020-09-08
YUM,2020-09-08
ZBH,2020-09-08
ZBRA,2020-09-08
ZTS,2020-09-08
