code,dt
MCO,2021-11-23
MDLZ,2021-11-23
MDT,2021-11-23
MET,2021-11-23
META,2021-11-23
MGM,2021-11-23
MHK,2021-11-23
MKC,2021-11-23
MKTX,2021-11-23
MLM,2021-11-23
MMC,2021-11-23
MMM,2021-11-23
MNST,2021-11-23
MO,2021-11-23
MOH,2021-11-23
MOS,2021-11-23
MPC,2021-11-23
MPWR,2021-11-23
MRK,2021-11-23
MRNA,2021-11-23
MS,2021-11-23
MSCI,2021-11-23
MSFT,2021-11-23
MSI,2021-11-23
MTB,2021-11-23
MTCH,2021-11-23
MTD,2021-11-23
MU,2021-11-23
NCLH,2021-11-23
NDAQ,2021-11-23
NDSN,2021-11-23
NEE,2021-11-23
NEM,2021-11-23
NFLX,2021-11-23
NI,2021-11-23
NKE,2021-11-23
NOC,2021-11-23
NOW,2021-11-23
NRG,2021-11-23
NSC,2021-11-23
NTAP,2021-11-23
NTRS,2021-11-23
NUE,2021-11-23
NVDA,2021-11-23
NVR,2021-11-23
NWS,2021-11-23
NWSA,2021-11-23
NXPI,2021-11-23
O,2021-11-23
ODFL,2021-11-23
OKE,2021-11-23
OMC,2021-11-23
ON,2021-11-23
ORCL,2021-11-23
ORLY,2021-11-23
OXY,2021-11-23
PANW,2021-11-23
PARA,2021-11-23
PAYC,2021-11-23
PAYX,2021-11-23
PCAR,2021-11-23
PCG,2021-11-23
PEG,2021-11-23
PEP,2021-11-23
PFE,2021-11-23
PFG,2021-11-23
PG,2021-11-23
PGR,2021-11-23
PH,2021-11-23
PHM,2021-11-23
PKG,2021-11-23
PLD,2021-11-23
PM,2021-11-23
PNC,2021-11-23
PNR,2021-11-23
PNW,2021-11-23
PODD,2021-11-23
POOL,2021-11-23
PPG,2021-11-23
PPL,2021-11-23
PRU,2021-11-23
PSA,2021-11-23
PSX,2021-11-23
PTC,2021-11-23
PWR,2021-11-23
PYPL,2021-11-23
QCOM,2021-11-23
RCL,2021-11-23
REG,2021-11-23
REGN,2021-11-23
RF,2021-11-23
RJF,2021-11-23
RL,2021-11-23
RMD,2021-11-23
ROK,2021-11-23
ROL,2021-11-23
ROP,2021-11-23
ROST,2021-11-23
RSG,2021-11-23
RTX,2021-11-23
RVTY,2021-11-23
SBAC,2021-11-23
SBUX,2021-11-23
SCHW,2021-11-23
SHW,2021-11-23
SJM,2021-11-23
SLB,2021-11-23
SMCI,2021-11-23
SNA,2021-11-23
SNPS,2021-11-23
SO,2021-11-23
SPG,2021-11-23
SPGI,2021-11-23
SRE,2021-11-23
STE,2021-11-23
STLD,2021-11-23
STT,2021-11-23
STX,2021-11-23
STZ,2021-11-23
SWK,2021-11-23
SWKS,2021-11-23
SYF,2021-11-23
SYK,2021-11-23
SYY,2021-11-23
T,2021-11-23
TAP,2021-11-23
TDG,2021-11-23
TDY,2021-11-23
TECH,2021-11-23
TEL,2021-11-23
TER,2021-11-23
TFC,2021-11-23
TGT,2021-11-23
TJX,2021-11-23
TKO,2021-11-23
TMO,2021-11-23
TMUS,2021-11-23
TPL,2021-11-23
TPR,2021-11-23
TRGP,2021-11-23
TRMB,2021-11-23
TROW,2021-11-23
TRV,2021-11-23
TSCO,2021-11-23
TSLA,2021-11-23
TSN,2021-11-23
TT,2021-11-23
TTWO,2021-11-23
TXN,2021-11-23
TXT,2021-11-23
TYL,2021-11-23
UAL,2021-11-23
UBER,2021-11-23
UDR,2021-11-23
UHS,2021-11-23
ULTA,2021-11-23
UNH,2021-11-23
UNP,2021-11-23
UPS,2021-11-23
URI,2021-11-23
USB,2021-11-23
V,2021-11-23
VICI,2021-11-23
VLO,2021-11-23
VMC,2021-11-23
VRSK,2021-11-23
VRSN,2021-11-23
VRTX,2021-11-23
VST,2021-11-23
VTR,2021-11-23
VTRS,2021-11-23
VZ,2021-11-23
WAB,2021-11-23
WAT,2021-11-23
WBA,2021-11-23
WBD,2021-11-23
WDAY,2021-11-23
WDC,2021-11-23
WEC,2021-11-23
WELL,2021-11-23
WFC,2021-11-23
WM,2021-11-23
WMB,2021-11-23
WMT,2021-11-23
WRB,2021-11-23
WSM,2021-11-23
WST,2021-11-23
WTW,2021-11-23
WY,2021-11-23
WYNN,2021-11-23
XEL,2021-11-23
XOM,2021-11-23
XYL,2021-11-23
YUM,2021-11-23
ZBH,2021-11-23
ZBRA,2021-11-23
ZTS,2021-11-23
