epoch,loss
1,0.9115154361411768
2,0.8347135473560338
3,0.79601927701001
4,0.7766325569481297
5,0.7643484035722291
6,0.7537726979871272
7,0.7438740574031478
8,0.7347025950913798
9,0.7263587001668438
10,0.7187796538475897
11,0.7118148105330825
12,0.7053240391192127
13,0.6992428452668669
14,0.6934709041437634
15,0.6879025586094163
16,0.6823890030903254
17,0.67682895832805
18,0.6712777297636421
19,0.6658838321917279
20,0.6607808516737433
21,0.6559844002103652
22,0.6514833723875834
23,0.6472609642764506
24,0.6432520041151506
25,0.639397323406872
26,0.6356672241006194
27,0.6320659553947531
28,0.6286231518232919
29,0.6254673832857746
30,0.6225879529725596
