date,n_nodes,cos_pos,ssa_pos,pred_pos,overlap_cos_pred_pos,overlap_ssa_pred_pos,overlap_cos_ssa_pos,cos_neg,ssa_neg,pred_neg,overlap_cos_pred_neg,overlap_ssa_pred_neg,overlap_cos_ssa_neg,ssa_pos_neg_overlap,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-07,200,24214,38024,2297,1142,2207,24214,1354,13004,17603,618,5553,1354,11032,10865,59
2020-05-08,200,23530,37976,1246,675,1181,23530,1446,14092,18654,678,6572,1446,12076,10990,45
2020-05-11,200,22918,37492,1679,747,1574,22918,1544,14042,18221,705,6227,1544,11534,10612,67
2020-05-12,200,21906,37000,2879,1036,2529,21906,1906,14618,17021,712,5733,1906,11624,9817,241
2020-05-13,200,20928,36766,4985,2144,4512,20928,2088,15712,14915,735,5386,2088,12478,8220,309
2020-05-14,200,20372,36794,4972,2440,4732,20372,2212,16504,14928,941,6078,2212,13298,7646,165
2020-05-15,200,19536,36362,4065,1951,3720,19536,2588,17432,15835,1052,6855,2588,13796,7717,242
2020-05-18,200,19050,36050,1781,692,1502,19050,2756,17534,18119,1191,7807,2756,13586,8733,187
2020-05-19,200,19326,36070,1641,616,1410,19326,2762,17254,18259,1223,7736,2762,13332,8947,158
2020-05-20,200,19398,36278,1586,694,1460,19398,2718,17298,18314,1269,7939,2718,13588,8905,90
2020-05-21,200,19348,36194,1605,595,1384,19348,2798,17346,18295,1290,7945,2798,13620,8979,109
2020-05-22,200,19328,36014,1692,712,1520,19328,2828,17814,18208,1317,8084,2828,13966,8852,97
2020-05-26,200,19104,35904,1614,672,1374,19104,2850,17796,18286,1290,8203,2850,13804,8780,135
2020-05-27,200,18322,35492,2353,1210,2021,18322,3014,17916,17547,1292,8042,3014,13546,7851,215
2020-05-28,200,17626,34736,1642,755,1373,17626,3350,18550,18258,1506,8548,3350,13452,7958,169
2020-05-29,200,17200,34376,1507,478,1115,17200,3670,18816,18393,1656,8547,3670,13386,8022,179
2020-06-01,200,17750,34658,1176,468,918,17750,3544,18318,18724,1642,8615,3544,13078,8307,130
2020-06-02,200,18326,34956,1186,422,944,18326,3400,18110,18714,1572,8425,3400,13134,8641,128
2020-06-03,200,18890,35108,1411,502,1114,18890,3272,17422,18489,1478,7989,3272,12616,8843,158
2020-06-04,200,19310,35124,1385,468,1022,19310,3196,16810,18515,1387,7655,3196,12022,9087,211
2020-06-05,200,20032,35080,2455,1148,2050,20032,3150,16048,17445,1313,6999,3150,11216,8768,262
2020-06-08,200,20438,34854,3494,1746,3020,20438,3230,15970,16406,1349,6609,3230,10946,8373,266
2020-06-09,200,20712,34972,1621,771,1355,20712,3536,15188,18279,1572,6965,3536,10282,9485,196
2020-06-10,200,21118,34718,1144,354,843,21118,3860,14864,18756,1742,6748,3860,9650,10105,188
2020-06-11,200,21098,34822,4778,1870,3994,21098,3658,14930,15122,1292,5153,3658,9836,8579,537
2020-06-12,200,21222,35034,2954,1061,2472,21222,3568,14496,16946,1438,5700,3568,9592,9450,346
2020-06-15,200,21448,35380,3300,1567,2960,21448,3520,14460,16600,1543,5842,3520,9886,9057,217
2020-06-16,200,21382,34918,1421,442,1223,21382,3616,13980,18479,1695,6249,3616,8988,10149,113
2020-06-17,200,21238,34848,2201,808,1832,21238,3608,13714,17699,1564,5815,3608,8614,9711,240
2020-06-18,200,20920,34686,1972,950,1706,20920,3576,14778,17928,1618,6575,3576,9524,9410,170
2020-06-19,200,20758,34968,4233,2138,3741,20758,3456,15318,15667,1403,6008,3456,10322,8141,325
2020-06-22,200,20620,34880,3011,1557,2671,20620,3468,16060,16889,1551,6860,3468,10992,8653,183
2020-06-23,200,20296,34900,2870,1447,2473,20296,3672,16522,17030,1553,7080,3672,11450,8601,283
2020-06-24,200,19732,34524,5730,3415,5105,19732,3784,17138,14170,1488,6588,3784,11696,6351,404
2020-06-25,200,19052,34294,4917,3218,4504,19052,3884,17964,14983,1677,7567,3884,12346,6208,265
2020-06-26,200,18622,34194,9705,4988,8283,18622,3996,19090,10195,968,5355,3996,13292,4223,1030
2020-06-29,200,18168,34028,4097,2483,3766,18168,4130,19658,15803,1859,8429,4130,13692,6501,206
2020-06-30,200,17602,33972,2741,1547,2457,17602,4214,20010,17159,1955,9008,4214,13994,7154,152
2020-07-01,200,16880,33586,2050,944,1754,16880,4272,20438,17850,1965,9277,4272,14040,7396,171
2020-07-02,200,16166,33830,2242,1089,1959,16166,4102,21282,17658,1913,9651,4102,15142,6894,138
2020-07-06,200,14970,33878,2020,758,1640,14970,4050,22380,17880,1789,10031,4050,16302,6627,236
2020-07-07,200,13154,32798,3224,1626,2856,13154,4832,23848,16676,2174,10603,4832,16720,4851,242
2020-07-08,200,12058,30852,3492,1494,2913,12058,5970,24724,16408,2692,10694,5970,15688,4435,293
2020-07-09,200,11656,28670,4723,1658,3520,11656,7536,25016,15177,2955,9861,7536,13812,4070,813
2020-07-10,200,11796,28114,3934,1802,3295,11796,8132,25082,15966,3670,10837,8132,13316,3996,396
2020-07-13,200,11986,27684,4483,1483,3247,11986,8346,24784,15417,3363,9756,8346,12654,4410,810
2020-07-14,200,11956,27658,3630,1429,2872,11956,8482,24882,16270,3792,10536,8482,12678,4449,449
2020-07-15,200,12060,28088,2077,690,1627,12060,8324,25412,17823,3844,11464,8324,13508,5240,318
2020-07-16,200,12120,28480,2142,724,1673,12120,8168,25550,17758,3756,11489,8168,14048,5236,328
2020-07-17,200,12260,28874,1729,583,1397,12260,7826,25310,18171,3665,11634,7826,14192,5447,248
2020-07-20,200,12408,29186,2170,590,1652,12408,7758,25210,17730,3589,11152,7758,14412,5514,290
2020-07-21,200,12836,29882,1755,630,1322,12836,7230,24774,18145,3315,11371,7230,14670,5688,300
2020-07-22,200,12984,30264,1857,648,1416,12984,7340,24554,18043,3384,11211,7340,14830,5744,286
2020-07-23,200,13108,30268,1928,520,1349,13108,7240,24392,17972,3266,10985,7240,14692,5934,354
2020-07-24,200,12972,30296,2903,820,2135,12972,7116,24520,16997,3052,10411,7116,14852,5566,506
2020-07-27,200,12864,30030,2369,791,1899,12864,7112,24464,17531,3290,10908,7112,14558,5541,266
2020-07-28,200,12766,29920,3009,899,2286,12766,7258,24692,16891,3187,10487,7258,14662,5384,442
2020-07-29,200,12588,30044,2554,801,2013,12588,7150,24982,17346,3257,10952,7150,15046,5393,318
2020-07-30,200,12484,30478,2329,836,1983,12484,7208,25424,17571,3389,11389,7208,15912,5306,215
2020-07-31,200,12270,29938,3608,1021,2626,12270,7262,25442,16292,2968,10328,7262,15440,5014,663
2020-08-03,200,12124,30002,2504,912,1966,12124,7174,25456,17396,3217,11284,7174,15488,5050,370
2020-08-04,200,12208,30488,1950,778,1620,12208,6582,25006,17950,3063,11503,6582,15500,5226,228
2020-08-05,200,12808,31332,2318,921,1957,12808,5972,24294,17582,2714,10907,5972,15634,5383,272
2020-08-06,200,13238,31236,2967,1188,2416,13238,5614,23118,16933,2410,10001,5614,14378,5331,397
2020-08-07,200,13666,31354,3220,1310,2747,13666,5490,22290,16680,2514,9571,5490,13716,5423,231
2020-08-10,200,14336,31568,3321,1355,2732,14336,5242,21720,16579,2305,9127,5242,13324,5713,316
2020-08-11,200,14626,31754,4067,1492,3142,14626,5262,21738,15833,2088,8633,5262,13550,5721,543
2020-08-12,200,14588,31504,4052,1555,3290,14588,5346,21994,15848,2249,8921,5346,13540,5639,424
2020-08-13,200,14642,31516,3041,976,2268,14642,5444,21574,16859,2220,9039,5444,13214,6245,502
2020-08-14,200,14674,31260,2667,837,2030,14674,5656,21410,17233,2419,9129,5656,12804,6400,409
2020-08-17,200,14638,30784,2534,642,1789,14638,5810,21356,17366,2435,9043,5810,12204,6577,470
2020-08-18,200,14282,30382,2176,602,1613,14282,6004,21900,17724,2653,9618,6004,12416,6439,349
2020-08-19,200,13832,30220,2070,541,1528,13832,5966,21998,17830,2697,9749,5966,12368,6275,286
2020-08-20,200,13598,30504,2829,751,2174,13598,6162,22526,17071,2695,9522,6162,13184,5948,386
2020-08-21,200,13680,30736,4483,1251,3370,13680,6190,22624,15417,2466,8587,6190,13508,5489,629
2020-08-24,200,13612,30584,3183,782,2253,13612,6184,22670,16717,2610,9330,6184,13396,5924,482
2020-08-25,200,13618,30646,2898,931,2304,13618,6168,22716,17002,2793,9746,6168,13556,5778,291
2020-08-26,200,13510,30758,2857,951,2276,13510,6202,23044,17043,2736,9863,6202,13944,5704,365
2020-08-27,200,13596,30908,3913,1290,3058,13596,6156,23098,15987,2552,9292,6156,14106,5408,526
2020-08-28,200,13618,31036,3194,1034,2514,13618,6190,23124,16706,2680,9653,6190,14276,5675,415
2020-08-31,200,13474,31062,4505,1636,3649,13474,6174,23182,15395,2517,9091,6174,14374,5001,570
2020-09-01,200,13226,30888,3967,1307,3197,13226,6226,23398,15933,2651,9443,6226,14482,5206,462
2020-09-02,200,12970,30484,3387,1081,2731,12970,6388,23392,16513,2757,9780,6388,14074,5304,437
2020-09-03,200,12918,30118,5553,1734,4281,12918,6500,23388,14347,2438,8448,6500,13692,4625,812
2020-09-04,200,12820,30814,4717,1486,3786,12820,6244,23712,15183,2499,9104,6244,14658,4824,623
2020-09-08,200,12798,31692,9086,3443,7923,12798,5872,23960,10814,2113,7182,5872,15750,2856,823
2020-09-09,200,12396,31358,7242,3174,6644,12396,6028,24400,12658,2613,8809,6028,15842,2924,401
2020-09-10,200,12382,31170,7640,2873,6500,12382,6376,24510,12260,2402,8076,6376,15746,3218,786
2020-09-11,200,12576,31084,8428,3637,7466,12576,6616,24310,11472,2629,8090,6616,15444,2551,679
2020-09-14,200,12546,30648,5775,2808,5143,12546,6906,24458,14125,2990,9677,6906,15152,3365,463
2020-09-15,200,12412,30274,4519,2137,3849,12412,7026,24520,15381,3060,10197,7026,14856,3969,453
2020-09-16,200,12334,30038,4561,1922,3821,12334,7158,24472,15339,3033,9960,7158,14662,4145,546
2020-09-17,200,12132,29738,4713,2183,4182,12132,7234,24530,15187,3261,10137,7234,14372,3783,356
2020-09-18,200,12114,29520,7542,1883,5258,12114,7366,24664,12358,2041,7243,7366,14288,4074,1642
2020-09-21,200,12264,29684,7549,2776,6055,12264,7048,24788,12351,2596,8238,7048,14538,3256,928
2020-09-22,200,12400,30420,5694,2258,4914,12400,6932,25036,14206,2902,9527,6932,15468,3842,564
