epoch,loss
1,0.9292637042631696
2,0.8242199318716232
3,0.7564481204261768
4,0.6991761760543319
5,0.6456815156792883
6,0.5964073017217136
7,0.5522929901384475
8,0.5138982709724926
9,0.4816665954655667
10,0.4542745405169262
11,0.4308939615566843
12,0.40987410795900414
13,0.3904770441264704
14,0.3724307320261578
15,0.3557505487621131
16,0.3402333235969945
17,0.3259348901472728
18,0.312867438233884
19,0.3008673903744054
20,0.28982856163339454
21,0.2796485944449435
22,0.27018058871599665
23,0.2612632477941489
24,0.2527237199577796
25,0.24461911206414938
26,0.2366153358422092
27,0.22886313735520047
28,0.22133203140675609
29,0.21407924608087117
30,0.20697845379886176
