epoch,loss
1,0.901717935315242
2,0.8252842662781069
3,0.7905851479165135
4,0.7738765489919478
5,0.7609944539522503
6,0.7505043763083994
7,0.7415867750255466
8,0.73387635727956
9,0.7271145338881614
10,0.7208766970396991
11,0.7147967698679745
12,0.7086439305448088
13,0.7024258760851035
14,0.696322577822431
15,0.6906205332197931
16,0.6854243099851134
17,0.6805754345768203
18,0.6759708734623212
19,0.6715588805184786
20,0.6673003589507062
21,0.6631879749435207
22,0.6592358989841888
23,0.6554631785116074
24,0.6518049080798569
25,0.6482785044357824
26,0.6449352662983593
27,0.6417616799378204
28,0.6387588962583787
29,0.6359550022076349
30,0.6333324436509163
