date,n_nodes,cos_pos,ssa_pos,pred_pos,overlap_cos_pred_pos,overlap_ssa_pred_pos,overlap_cos_ssa_pos,cos_neg,ssa_neg,pred_neg,overlap_cos_pred_neg,overlap_ssa_pred_neg,overlap_cos_ssa_neg,ssa_pos_neg_overlap,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-07,486,163488,231766,342,235,340,163488,4352,68336,117513,2174,34067,4352,63906,81266,2
2020-05-08,486,151194,230178,409,338,402,151194,5814,79458,117446,2900,39663,5814,73440,75016,7
2020-05-11,486,141660,228092,252,175,249,141660,7742,87398,117603,3868,43632,7742,79294,70412,3
2020-05-12,486,128748,224030,36,18,30,128748,11486,98852,117819,5738,49409,11486,86686,64113,5
2020-05-13,486,122516,221992,40,31,40,122516,13338,105978,117815,6669,52982,13338,91774,60984,0
2020-05-14,486,121450,220626,976,682,954,121450,14574,107910,116879,7268,53704,14574,92340,59800,19
2020-05-15,486,115732,215930,1718,788,1527,115732,18542,112982,116137,9105,55612,18542,92716,56835,166
2020-05-18,486,113956,214790,4461,2893,4331,113956,19580,114042,113394,9661,55608,19580,92636,53842,129
2020-05-19,486,114306,214836,239,89,197,114306,19414,113922,117616,9667,56815,19414,92562,56821,40
2020-05-20,486,114212,214844,590,311,531,114212,19134,114206,117265,9515,56844,19134,92854,56552,52
2020-05-21,486,113388,214422,479,213,434,113388,19236,115644,117376,9576,57571,19236,93870,56238,42
2020-05-22,486,112240,214072,77,23,72,112240,19332,116732,117778,9661,58320,19332,94608,55854,5
2020-05-26,486,113352,214192,662,332,602,113352,18586,115958,117193,9246,57658,18586,93954,56101,47
2020-05-27,486,112886,212494,587,185,485,112886,19226,115860,117268,9535,57565,19226,92158,56015,78
2020-05-28,486,115110,213752,175,63,130,115110,17726,113610,117680,8835,56699,17726,91166,57249,28
2020-05-29,486,118890,216652,893,304,688,118890,15418,109968,116962,7566,54447,15418,90424,58898,143
2020-06-01,486,125886,219836,25,6,14,125886,12518,101830,117830,6250,50896,12518,85512,62694,9
2020-06-02,486,133534,221680,162,57,138,133534,10932,93744,117693,5457,46781,10932,79238,66467,9
2020-06-03,486,142654,223726,174,47,153,142654,9442,84770,117681,4708,42278,9442,72316,71037,13
2020-06-04,486,149748,222972,114,30,97,149748,9278,77538,117741,4632,38699,9278,64328,74601,7
2020-06-05,486,158574,223588,255,131,228,158574,9168,68180,117600,4568,33974,9168,55578,78913,16
