date,nodes,pos_edges,neg_edges
2020-05-07,200,12556,4348
2020-05-08,200,18152,4874
2020-05-11,200,19392,5226
2020-05-12,200,19806,5612
2020-05-13,200,20090,5852
2020-05-14,200,14944,2730
2020-05-15,200,13362,3174
2020-05-18,200,13386,3348
2020-05-19,200,13976,3422
2020-05-20,200,14518,3590
2020-05-21,200,13776,3528
2020-05-22,200,13210,3478
2020-05-26,200,13370,3542
2020-05-27,200,13404,3764
2020-05-28,200,13602,4374
2020-05-29,200,11858,4804
2020-06-01,200,11376,4796
2020-06-02,200,11674,4868
2020-06-03,200,12218,4994
2020-06-04,200,12808,4954
2020-06-05,200,13114,4736
2020-06-08,200,13450,4720
2020-06-09,200,13838,4936
2020-06-10,200,14192,5130
2020-06-11,200,14448,4946
2020-06-12,200,14608,4746
2020-06-15,200,14900,4616
2020-06-16,200,15190,4560
2020-06-17,200,15532,4550
2020-06-18,200,15756,4584
2020-06-19,200,15260,4442
2020-06-22,200,14964,4436
2020-06-23,200,14892,4392
2020-06-24,200,14790,4272
2020-06-25,200,14662,4350
2020-06-26,200,13842,4348
2020-06-29,200,13328,4386
2020-06-30,200,12894,4490
2020-07-01,200,12396,4664
2020-07-02,200,11892,4724
2020-07-06,200,10538,4858
2020-07-07,200,9416,5632
2020-07-08,200,8608,6642
2020-07-09,200,8102,7832
2020-07-10,200,7740,8336
2020-07-13,200,6878,8690
2020-07-14,200,6562,9032
2020-07-15,200,6686,9028
2020-07-16,200,6940,8850
2020-07-17,200,7154,8878
2020-07-20,200,7100,8798
2020-07-21,200,7222,8290
2020-07-22,200,7498,8084
2020-07-23,200,7704,7756
2020-07-24,200,7838,7624
2020-07-27,200,7868,7528
2020-07-28,200,7950,7616
2020-07-29,200,7788,7478
2020-07-30,200,7574,7354
2020-07-31,200,7362,7466
2020-08-03,200,6912,7562
2020-08-04,200,6668,7360
2020-08-05,200,6740,7078
2020-08-06,200,6874,6696
2020-08-07,200,7168,6472
2020-08-10,200,7418,6206
2020-08-11,200,7848,6238
2020-08-12,200,8070,6480
2020-08-13,200,8120,6546
2020-08-14,200,8142,6638
2020-08-17,200,8230,6854
2020-08-18,200,8220,7240
2020-08-19,200,8154,7552
2020-08-20,200,8090,7862
2020-08-21,200,8064,7900
2020-08-24,200,8060,7990
2020-08-25,200,8150,7888
2020-08-26,200,8296,7832
2020-08-27,200,8408,7874
2020-08-28,200,8578,8104
2020-08-31,200,8676,8172
2020-09-01,200,8700,8100
2020-09-02,200,8618,8118
2020-09-03,200,8586,8180
2020-09-04,200,8454,7934
2020-09-08,200,8358,7506
2020-09-09,200,8262,7332
2020-09-10,200,8330,7082
2020-09-11,200,8282,6736
2020-09-14,200,8094,6724
2020-09-15,200,7938,6922
2020-09-16,200,7718,6968
2020-09-17,200,7624,6948
2020-09-18,200,7636,6922
2020-09-21,200,7698,6972
2020-09-22,200,7856,6950
2020-09-23,200,8028,6664
2020-09-24,200,8554,6356
2020-09-25,200,8934,6182
2020-09-28,200,9030,5940
2020-09-29,200,9134,5752
2020-09-30,200,9364,5718
2020-10-01,200,9610,5902
2020-10-02,200,9722,5976
2020-10-05,200,9800,6028
2020-10-06,200,9690,6316
2020-10-07,200,9666,6334
2020-10-08,200,9550,5972
2020-10-09,200,9544,5692
2020-10-12,200,10000,5312
2020-10-13,200,10622,4738
2020-10-14,200,11524,4412
2020-10-15,200,12124,4228
2020-10-16,200,12890,4422
2020-10-19,200,13390,4388
2020-10-20,200,13766,4380
2020-10-21,200,13910,4450
2020-10-22,200,13794,4824
2020-10-23,200,13790,5148
2020-10-26,200,13514,5258
2020-10-27,200,13404,5330
2020-10-28,200,13530,5306
2020-10-29,200,13780,5066
2020-10-30,200,14076,4614
2020-11-02,200,14048,4484
2020-11-03,200,13756,4332
2020-11-04,200,13258,4318
2020-11-05,200,12534,4196
2020-11-06,200,11438,4072
2020-11-09,200,11142,3926
2020-11-10,200,10988,4002
