sample_id,dt,pos_weight_mean,neg_weight_mean,beta_self_mean,beta_pos_mean,beta_neg_mean
1,2025-02-06,0.004608295,0.0046082945,0.7527227,0.24727736,4.2279544e-15
1,2025-02-07,0.0046082954,0.004608295,0.74781317,0.2521798,7.0381175e-06
1,2025-02-10,0.0046082954,0.0046082954,0.5707062,0.005167343,0.42412642
1,2025-02-11,0.0046082954,0.0046082945,0.9999949,2.5880456e-06,2.5421791e-06
1,2025-02-12,0.0046082945,0.0046082954,0.36204922,0.3550257,0.28292507
1,2025-02-13,0.004608295,0.004608295,1.7376846e-06,3.3080669e-06,0.99999493
1,2025-02-14,0.0046082954,0.004608295,1.0,1.8358508e-08,1.9800728e-08
1,2025-02-17,0.0046082945,0.004608296,1.0,5.1487867e-09,5.1487867e-09
1,2025-02-18,0.0046082954,0.004608295,1.0,5.484978e-09,4.979713e-09
1,2025-02-19,0.0046082945,0.0046082963,0.9999997,1.6245761e-07,1.6552042e-07
1,2025-02-20,0.004608296,0.0046082945,0.30946118,0.6905388,4.182273e-25
1,2025-02-21,0.0046082954,0.004608295,0.581387,0.418613,8.100629e-14
1,2025-02-24,0.0046082945,0.004608295,0.24635297,0.10037,0.653277
1,2025-02-25,0.0046082954,0.004608296,0.9999996,2.4667514e-07,2.3299651e-07
1,2025-02-26,0.0046082945,0.004608295,0.85200006,0.14417541,0.0038245646
1,2025-02-27,0.0046082954,0.004608295,0.99999726,1.3792041e-06,1.3744075e-06
1,2025-02-28,0.0046082954,0.0046082954,0.9999997,1.5970204e-07,1.571554e-07
1,2025-03-03,0.004608295,0.004608296,0.34002134,1.04255866e-16,0.6599786
1,2025-03-04,0.004608295,0.004608295,1.0,9.065614e-10,1.3593141e-09
1,2025-03-05,0.004608295,0.0046082945,0.68588144,0.30361277,0.01050583
