,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.157,0.058,0.151,0.262,0.323,-0.518,0.187,-0.329,0.13
AAPL,0.157,0.0,0.927,0.917,0.902,0.662,-0.051,0.814,0.581,0.864
AMD,0.058,0.927,0.0,0.916,0.842,0.671,0.145,0.783,0.6,0.798
AMZN,0.151,0.917,0.916,0.0,0.948,0.707,0.023,0.774,0.644,0.83
GOOGL,0.262,0.902,0.842,0.948,0.0,0.789,-0.124,0.805,0.523,0.804
INTC,0.323,0.662,0.671,0.707,0.789,0.0,-0.279,0.83,0.194,0.614
MARA,-0.518,-0.051,0.145,0.023,-0.124,-0.279,0.0,-0.24,0.384,-0.08
NVDA,0.187,0.814,0.783,0.774,0.805,0.83,-0.24,0.0,0.379,0.746
PLUG,-0.329,0.581,0.6,0.644,0.523,0.194,0.384,0.379,0.0,0.57
TSLA,0.13,0.864,0.798,0.83,0.804,0.614,-0.08,0.746,0.57,0.0
