,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.895,0.839,0.85,0.899,-0.616,0.894,0.576,0.917,0.639
AAPL,0.895,0.0,0.874,0.934,0.948,-0.771,0.897,0.656,0.968,0.814
AMD,0.839,0.874,0.0,0.944,0.903,-0.81,0.744,0.777,0.877,0.857
AMZN,0.85,0.934,0.944,0.0,0.928,-0.889,0.792,0.702,0.907,0.871
GOOGL,0.899,0.948,0.903,0.928,0.0,-0.723,0.878,0.732,0.937,0.805
INTC,-0.616,-0.771,-0.81,-0.889,-0.723,0.0,-0.552,-0.458,-0.75,-0.765
MARA,0.894,0.897,0.744,0.792,0.878,-0.552,0.0,0.533,0.935,0.603
NVDA,0.576,0.656,0.777,0.702,0.732,-0.458,0.533,0.0,0.61,0.811
PLUG,0.917,0.968,0.877,0.907,0.937,-0.75,0.935,0.61,0.0,0.755
TSLA,0.639,0.814,0.857,0.871,0.805,-0.765,0.603,0.811,0.755,0.0
