,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.532,0.642,0.785,0.379,-0.091,0.938,0.865,0.804,0.179
AAPL,0.532,0.0,0.601,0.702,0.849,-0.522,0.546,0.774,0.667,-0.036
AMD,0.642,0.601,0.0,0.735,0.699,0.2,0.615,0.777,0.754,0.521
AMZN,0.785,0.702,0.735,0.0,0.57,-0.223,0.845,0.819,0.771,0.213
GOOGL,0.379,0.849,0.699,0.57,0.0,-0.363,0.342,0.67,0.582,0.06
INTC,-0.091,-0.522,0.2,-0.223,-0.363,0.0,-0.108,-0.134,-0.019,0.769
MARA,0.938,0.546,0.615,0.845,0.342,-0.108,0.0,0.849,0.812,0.202
NVDA,0.865,0.774,0.777,0.819,0.67,-0.134,0.849,0.0,0.926,0.307
PLUG,0.804,0.667,0.754,0.771,0.582,-0.019,0.812,0.926,0.0,0.443
TSLA,0.179,-0.036,0.521,0.213,0.06,0.769,0.202,0.307,0.443,0.0
