,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.473,-0.326,0.314,0.344,-0.37,0.603,0.201,0.197,-0.001
AAPL,0.473,0.0,-0.009,0.845,0.721,-0.729,0.509,0.839,0.316,0.606
AMD,-0.326,-0.009,0.0,0.132,-0.02,0.274,-0.083,0.39,0.228,0.071
AMZN,0.314,0.845,0.132,0.0,0.65,-0.581,0.318,0.871,0.506,0.449
GOOGL,0.344,0.721,-0.02,0.65,0.0,-0.893,0.621,0.713,-0.1,0.749
INTC,-0.37,-0.729,0.274,-0.581,-0.893,0.0,-0.517,-0.609,0.227,-0.777
MARA,0.603,0.509,-0.083,0.318,0.621,-0.517,0.0,0.337,-0.107,0.381
NVDA,0.201,0.839,0.39,0.871,0.713,-0.609,0.337,0.0,0.341,0.637
PLUG,0.197,0.316,0.228,0.506,-0.1,0.227,-0.107,0.341,0.0,-0.258
TSLA,-0.001,0.606,0.071,0.449,0.749,-0.777,0.381,0.637,-0.258,0.0
