,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.252,0.191,0.407,0.589,0.604,0.067,0.274,0.112,0.266
AAPL,0.252,0.0,-0.497,-0.288,0.612,0.503,-0.588,-0.424,-0.578,-0.424
AMD,0.191,-0.497,0.0,0.716,0.109,-0.139,0.769,0.833,0.709,0.885
AMZN,0.407,-0.288,0.716,0.0,0.469,0.182,0.827,0.911,0.879,0.789
GOOGL,0.589,0.612,0.109,0.469,0.0,0.635,0.087,0.336,0.133,0.266
INTC,0.604,0.503,-0.139,0.182,0.635,0.0,-0.174,0.039,-0.144,-0.044
MARA,0.067,-0.588,0.769,0.827,0.087,-0.174,0.0,0.921,0.957,0.89
NVDA,0.274,-0.424,0.833,0.911,0.336,0.039,0.921,0.0,0.899,0.905
PLUG,0.112,-0.578,0.709,0.879,0.133,-0.144,0.957,0.899,0.0,0.816
TSLA,0.266,-0.424,0.885,0.789,0.266,-0.044,0.89,0.905,0.816,0.0
