,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.426,0.325,0.412,0.613,0.406,0.508,0.211,0.223,0.185
AAPL,0.426,0.0,0.976,0.969,0.938,0.754,0.871,0.862,0.459,0.504
AMD,0.325,0.976,0.0,0.95,0.891,0.749,0.846,0.843,0.478,0.502
AMZN,0.412,0.969,0.95,0.0,0.95,0.711,0.81,0.802,0.324,0.351
GOOGL,0.613,0.938,0.891,0.95,0.0,0.774,0.815,0.779,0.342,0.379
INTC,0.406,0.754,0.749,0.711,0.774,0.0,0.714,0.814,0.541,0.605
MARA,0.508,0.871,0.846,0.81,0.815,0.714,0.0,0.727,0.589,0.69
NVDA,0.211,0.862,0.843,0.802,0.779,0.814,0.727,0.0,0.532,0.582
PLUG,0.223,0.459,0.478,0.324,0.342,0.541,0.589,0.532,0.0,0.77
TSLA,0.185,0.504,0.502,0.351,0.379,0.605,0.69,0.582,0.77,0.0
