,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.396,0.377,0.342,0.493,-0.267,0.172,0.331,0.44,-0.405
AAPL,0.396,0.0,0.63,0.174,0.809,0.282,-0.515,0.394,-0.317,-0.344
AMD,0.377,0.63,0.0,0.676,0.696,-0.361,-0.76,0.886,-0.07,-0.872
AMZN,0.342,0.174,0.676,0.0,0.298,-0.646,-0.376,0.885,0.358,-0.767
GOOGL,0.493,0.809,0.696,0.298,0.0,-0.035,-0.488,0.476,-0.313,-0.523
INTC,-0.267,0.282,-0.361,-0.646,-0.035,0.0,0.151,-0.601,-0.444,0.669
MARA,0.172,-0.515,-0.76,-0.376,-0.488,0.151,0.0,-0.641,0.442,0.665
NVDA,0.331,0.394,0.886,0.885,0.476,-0.601,-0.641,0.0,0.216,-0.914
PLUG,0.44,-0.317,-0.07,0.358,-0.313,-0.444,0.442,0.216,0.0,-0.163
TSLA,-0.405,-0.344,-0.872,-0.767,-0.523,0.669,0.665,-0.914,-0.163,0.0
