,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.645,0.782,0.143,0.509,0.876,0.644,-0.172,0.635,0.895
AAPL,0.645,0.0,0.765,0.311,0.742,0.788,0.392,0.348,0.021,0.522
AMD,0.782,0.765,0.0,0.511,0.702,0.93,0.836,0.21,0.294,0.855
AMZN,0.143,0.311,0.511,0.0,0.655,0.407,0.527,0.549,-0.147,0.366
GOOGL,0.509,0.742,0.702,0.655,0.0,0.744,0.5,0.571,-0.074,0.484
INTC,0.876,0.788,0.93,0.407,0.744,0.0,0.763,0.103,0.347,0.829
MARA,0.644,0.392,0.836,0.527,0.5,0.763,0.0,0.016,0.389,0.822
NVDA,-0.172,0.348,0.21,0.549,0.571,0.103,0.016,0.0,-0.536,-0.101
PLUG,0.635,0.021,0.294,-0.147,-0.074,0.347,0.389,-0.536,0.0,0.61
TSLA,0.895,0.522,0.855,0.366,0.484,0.829,0.822,-0.101,0.61,0.0
