,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.931,0.872,0.726,0.521,0.969,0.943,0.829,0.785,0.653
AAPL,0.931,0.0,0.933,0.889,0.766,0.923,0.863,0.953,0.922,0.805
AMD,0.872,0.933,0.0,0.907,0.789,0.886,0.739,0.95,0.844,0.731
AMZN,0.726,0.889,0.907,0.0,0.937,0.762,0.602,0.954,0.918,0.824
GOOGL,0.521,0.766,0.789,0.937,0.0,0.537,0.381,0.88,0.863,0.84
INTC,0.969,0.923,0.886,0.762,0.537,0.0,0.933,0.839,0.775,0.622
MARA,0.943,0.863,0.739,0.602,0.381,0.933,0.0,0.732,0.727,0.573
NVDA,0.829,0.953,0.95,0.954,0.88,0.839,0.732,0.0,0.943,0.866
PLUG,0.785,0.922,0.844,0.918,0.863,0.775,0.727,0.943,0.0,0.863
TSLA,0.653,0.805,0.731,0.824,0.84,0.622,0.573,0.866,0.863,0.0
