,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.867,0.947,0.893,0.739,0.953,0.881,0.935,0.644,0.594
AAPL,0.867,0.0,0.734,0.957,0.924,0.819,0.756,0.85,0.897,0.808
AMD,0.947,0.734,0.0,0.814,0.64,0.952,0.937,0.948,0.479,0.495
AMZN,0.893,0.957,0.814,0.0,0.908,0.886,0.862,0.916,0.87,0.768
GOOGL,0.739,0.924,0.64,0.908,0.0,0.699,0.735,0.82,0.908,0.916
INTC,0.953,0.819,0.952,0.886,0.699,0.0,0.906,0.934,0.595,0.513
MARA,0.881,0.756,0.937,0.862,0.735,0.906,0.0,0.967,0.601,0.609
NVDA,0.935,0.85,0.948,0.916,0.82,0.934,0.967,0.0,0.685,0.697
PLUG,0.644,0.897,0.479,0.87,0.908,0.595,0.601,0.685,0.0,0.854
TSLA,0.594,0.808,0.495,0.768,0.916,0.513,0.609,0.697,0.854,0.0
