,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.924,0.92,0.839,0.943,0.845,0.702,0.93,-0.609,0.921
AAPL,0.924,0.0,0.963,0.881,0.981,0.9,0.695,0.98,-0.802,0.86
AMD,0.92,0.963,0.0,0.932,0.96,0.852,0.642,0.971,-0.702,0.835
AMZN,0.839,0.881,0.932,0.0,0.891,0.817,0.523,0.873,-0.608,0.721
GOOGL,0.943,0.981,0.96,0.891,0.0,0.912,0.706,0.96,-0.741,0.883
INTC,0.845,0.9,0.852,0.817,0.912,0.0,0.797,0.845,-0.714,0.816
MARA,0.702,0.695,0.642,0.523,0.706,0.797,0.0,0.665,-0.539,0.732
NVDA,0.93,0.98,0.971,0.873,0.96,0.845,0.665,0.0,-0.767,0.861
PLUG,-0.609,-0.802,-0.702,-0.608,-0.741,-0.714,-0.539,-0.767,0.0,-0.607
TSLA,0.921,0.86,0.835,0.721,0.883,0.816,0.732,0.861,-0.607,0.0
