,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.705,0.014,-0.737,-0.476,0.669,-0.101,-0.66,-0.806,-0.624
AAPL,-0.705,0.0,0.485,0.907,0.872,-0.222,0.039,0.931,0.757,0.928
AMD,0.014,0.485,0.0,0.537,0.728,0.443,0.077,0.657,0.052,0.523
AMZN,-0.737,0.907,0.537,0.0,0.903,-0.245,-0.035,0.965,0.784,0.936
GOOGL,-0.476,0.872,0.728,0.903,0.0,0.059,0.056,0.917,0.6,0.894
INTC,0.669,-0.222,0.443,-0.245,0.059,0.0,0.136,-0.164,-0.397,-0.18
MARA,-0.101,0.039,0.077,-0.035,0.056,0.136,0.0,0.014,-0.084,-0.189
NVDA,-0.66,0.931,0.657,0.965,0.917,-0.164,0.014,0.0,0.686,0.925
PLUG,-0.806,0.757,0.052,0.784,0.6,-0.397,-0.084,0.686,0.0,0.737
TSLA,-0.624,0.928,0.523,0.936,0.894,-0.18,-0.189,0.925,0.737,0.0
