,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.844,-0.617,0.912,0.689,-0.927,0.062,-0.309,0.889,0.836
AAPL,0.844,0.0,-0.554,0.953,0.692,-0.904,0.228,-0.478,0.857,0.84
AMD,-0.617,-0.554,0.0,-0.633,-0.806,0.645,0.229,0.586,-0.586,-0.808
AMZN,0.912,0.953,-0.633,0.0,0.789,-0.959,0.045,-0.413,0.862,0.895
GOOGL,0.689,0.692,-0.806,0.789,0.0,-0.773,-0.359,-0.403,0.564,0.894
INTC,-0.927,-0.904,0.645,-0.959,-0.773,0.0,0.004,0.295,-0.805,-0.868
MARA,0.062,0.228,0.229,0.045,-0.359,0.004,0.0,-0.134,0.203,-0.077
NVDA,-0.309,-0.478,0.586,-0.413,-0.403,0.295,-0.134,0.0,-0.508,-0.471
PLUG,0.889,0.857,-0.586,0.862,0.564,-0.805,0.203,-0.508,0.0,0.745
TSLA,0.836,0.84,-0.808,0.895,0.894,-0.868,-0.077,-0.471,0.745,0.0
