,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.442,-0.471,-0.405,-0.547,-0.126,-0.454,-0.467,-0.485,-0.217
AAPL,-0.442,0.0,0.936,0.966,0.97,0.81,0.956,0.959,0.873,0.903
AMD,-0.471,0.936,0.0,0.94,0.938,0.891,0.976,0.972,0.781,0.829
AMZN,-0.405,0.966,0.94,0.0,0.975,0.812,0.968,0.973,0.918,0.901
GOOGL,-0.547,0.97,0.938,0.975,0.0,0.759,0.968,0.978,0.914,0.882
INTC,-0.126,0.81,0.891,0.812,0.759,0.0,0.839,0.83,0.592,0.753
MARA,-0.454,0.956,0.976,0.968,0.968,0.839,0.0,0.994,0.844,0.875
NVDA,-0.467,0.959,0.972,0.973,0.978,0.83,0.994,0.0,0.86,0.883
PLUG,-0.485,0.873,0.781,0.918,0.914,0.592,0.844,0.86,0.0,0.803
TSLA,-0.217,0.903,0.829,0.901,0.882,0.753,0.875,0.883,0.803,0.0
