,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.416,-0.306,-0.319,-0.625,-0.335,0.233,0.06,0.163,0.453
AAPL,-0.416,0.0,0.727,0.788,0.812,0.634,-0.136,0.67,0.039,0.407
AMD,-0.306,0.727,0.0,0.496,0.863,0.915,-0.142,0.841,-0.091,0.498
AMZN,-0.319,0.788,0.496,0.0,0.596,0.441,0.237,0.485,0.431,0.257
GOOGL,-0.625,0.812,0.863,0.596,0.0,0.84,-0.269,0.609,-0.149,0.267
INTC,-0.335,0.634,0.915,0.441,0.84,0.0,-0.335,0.807,-0.2,0.452
MARA,0.233,-0.136,-0.142,0.237,-0.269,-0.335,0.0,-0.131,0.552,-0.043
NVDA,0.06,0.67,0.841,0.485,0.609,0.807,-0.131,0.0,0.029,0.753
PLUG,0.163,0.039,-0.091,0.431,-0.149,-0.2,0.552,0.029,0.0,0.162
TSLA,0.453,0.407,0.498,0.257,0.267,0.452,-0.043,0.753,0.162,0.0
