,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.9,-0.024,0.903,0.81,0.89,0.952,0.955,0.951,0.938
AAPL,0.9,0.0,-0.149,0.803,0.771,0.875,0.937,0.922,0.913,0.934
AMD,-0.024,-0.149,0.0,-0.262,0.131,-0.03,-0.203,0.083,-0.123,-0.165
AMZN,0.903,0.803,-0.262,0.0,0.79,0.908,0.893,0.827,0.845,0.872
GOOGL,0.81,0.771,0.131,0.79,0.0,0.916,0.777,0.844,0.709,0.834
INTC,0.89,0.875,-0.03,0.908,0.916,0.0,0.879,0.886,0.825,0.899
MARA,0.952,0.937,-0.203,0.893,0.777,0.879,0.0,0.937,0.976,0.974
NVDA,0.955,0.922,0.083,0.827,0.844,0.886,0.937,0.0,0.937,0.923
PLUG,0.951,0.913,-0.123,0.845,0.709,0.825,0.976,0.937,0.0,0.927
TSLA,0.938,0.934,-0.165,0.872,0.834,0.899,0.974,0.923,0.927,0.0
