,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.524,0.416,-0.096,0.153,0.584,0.689,-0.825,0.426,0.039
AAPL,-0.524,0.0,-0.749,0.445,0.409,-0.059,-0.401,0.797,-0.766,0.49
AMD,0.416,-0.749,0.0,-0.327,-0.191,0.174,0.515,-0.602,0.703,-0.247
AMZN,-0.096,0.445,-0.327,0.0,0.787,0.242,-0.116,0.321,-0.62,0.04
GOOGL,0.153,0.409,-0.191,0.787,0.0,0.468,0.238,0.162,-0.495,0.158
INTC,0.584,-0.059,0.174,0.242,0.468,0.0,0.452,-0.468,0.067,0.169
MARA,0.689,-0.401,0.515,-0.116,0.238,0.452,0.0,-0.628,0.41,0.115
NVDA,-0.825,0.797,-0.602,0.321,0.162,-0.468,-0.628,0.0,-0.702,0.166
PLUG,0.426,-0.766,0.703,-0.62,-0.495,0.067,0.41,-0.702,0.0,-0.335
TSLA,0.039,0.49,-0.247,0.04,0.158,0.169,0.115,0.166,-0.335,0.0
