,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.723,0.644,0.59,0.408,0.416,0.324,0.669,0.255,0.591
AAPL,0.723,0.0,0.221,0.232,-0.008,-0.056,-0.113,0.318,-0.065,0.214
AMD,0.644,0.221,0.0,0.792,0.711,0.89,0.754,0.896,0.432,0.715
AMZN,0.59,0.232,0.792,0.0,0.858,0.824,0.864,0.924,0.453,0.881
GOOGL,0.408,-0.008,0.711,0.858,0.0,0.794,0.893,0.727,0.281,0.767
INTC,0.416,-0.056,0.89,0.824,0.794,0.0,0.923,0.841,0.639,0.809
MARA,0.324,-0.113,0.754,0.864,0.893,0.923,0.0,0.78,0.551,0.846
NVDA,0.669,0.318,0.896,0.924,0.727,0.841,0.78,0.0,0.499,0.85
PLUG,0.255,-0.065,0.432,0.453,0.281,0.639,0.551,0.499,0.0,0.596
TSLA,0.591,0.214,0.715,0.881,0.767,0.809,0.846,0.85,0.596,0.0
