,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.236,-0.233,-0.175,-0.02,-0.041,-0.464,0.005,0.355,-0.505
AAPL,-0.236,0.0,0.903,0.921,0.82,0.864,0.849,0.799,0.544,0.871
AMD,-0.233,0.903,0.0,0.882,0.764,0.813,0.78,0.847,0.64,0.816
AMZN,-0.175,0.921,0.882,0.0,0.807,0.795,0.846,0.738,0.651,0.815
GOOGL,-0.02,0.82,0.764,0.807,0.0,0.903,0.72,0.833,0.521,0.699
INTC,-0.041,0.864,0.813,0.795,0.903,0.0,0.768,0.883,0.483,0.794
MARA,-0.464,0.849,0.78,0.846,0.72,0.768,0.0,0.603,0.275,0.973
NVDA,0.005,0.799,0.847,0.738,0.833,0.883,0.603,0.0,0.663,0.66
PLUG,0.355,0.544,0.64,0.651,0.521,0.483,0.275,0.663,0.0,0.249
TSLA,-0.505,0.871,0.816,0.815,0.699,0.794,0.973,0.66,0.249,0.0
