,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.509,-0.062,0.731,-0.174,0.704,-0.095,-0.189,0.811,0.232
AAPL,-0.509,0.0,0.136,-0.443,0.689,-0.168,0.46,0.457,-0.525,-0.01
AMD,-0.062,0.136,0.0,-0.004,-0.029,0.469,-0.043,0.265,-0.004,0.653
AMZN,0.731,-0.443,-0.004,0.0,-0.176,0.483,-0.386,-0.112,0.561,0.026
GOOGL,-0.174,0.689,-0.029,-0.176,0.0,0.172,0.766,0.825,-0.157,0.158
INTC,0.704,-0.168,0.469,0.483,0.172,0.0,0.185,0.272,0.68,0.687
MARA,-0.095,0.46,-0.043,-0.386,0.766,0.185,0.0,0.658,-0.038,0.258
NVDA,-0.189,0.457,0.265,-0.112,0.825,0.272,0.658,0.0,-0.169,0.372
PLUG,0.811,-0.525,-0.004,0.561,-0.157,0.68,-0.038,-0.169,0.0,0.298
TSLA,0.232,-0.01,0.653,0.026,0.158,0.687,0.258,0.372,0.298,0.0
