,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.046,-0.506,0.678,0.69,0.62,0.649,0.533,-0.753,0.805
AAPL,-0.046,0.0,0.67,-0.491,-0.294,-0.263,-0.002,0.013,-0.016,-0.11
AMD,-0.506,0.67,0.0,-0.59,-0.432,-0.362,-0.192,-0.109,0.364,-0.498
AMZN,0.678,-0.491,-0.59,0.0,0.821,0.882,0.615,0.738,-0.474,0.741
GOOGL,0.69,-0.294,-0.432,0.821,0.0,0.71,0.62,0.625,-0.577,0.686
INTC,0.62,-0.263,-0.362,0.882,0.71,0.0,0.551,0.805,-0.455,0.752
MARA,0.649,-0.002,-0.192,0.615,0.62,0.551,0.0,0.742,-0.624,0.799
NVDA,0.533,0.013,-0.109,0.738,0.625,0.805,0.742,0.0,-0.423,0.723
PLUG,-0.753,-0.016,0.364,-0.474,-0.577,-0.455,-0.624,-0.423,0.0,-0.686
TSLA,0.805,-0.11,-0.498,0.741,0.686,0.752,0.799,0.723,-0.686,0.0
