,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.421,0.36,0.387,0.598,0.54,0.161,0.336,0.387,0.222
AAPL,0.421,0.0,0.881,0.663,0.603,0.901,-0.172,0.743,0.867,0.868
AMD,0.36,0.881,0.0,0.814,0.613,0.933,0.047,0.915,0.961,0.901
AMZN,0.387,0.663,0.814,0.0,0.842,0.773,0.477,0.927,0.798,0.586
GOOGL,0.598,0.603,0.613,0.842,0.0,0.733,0.569,0.778,0.578,0.324
INTC,0.54,0.901,0.933,0.773,0.733,0.0,0.088,0.873,0.901,0.802
MARA,0.161,-0.172,0.047,0.477,0.569,0.088,0.0,0.41,-0.051,-0.304
NVDA,0.336,0.743,0.915,0.927,0.778,0.873,0.41,0.0,0.848,0.698
PLUG,0.387,0.867,0.961,0.798,0.578,0.901,-0.051,0.848,0.0,0.895
TSLA,0.222,0.868,0.901,0.586,0.324,0.802,-0.304,0.698,0.895,0.0
