,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.54,0.318,0.402,-0.062,-0.075,-0.132,0.314,0.107,0.225
AAPL,0.54,0.0,-0.138,0.43,-0.289,-0.071,-0.281,-0.352,0.543,0.737
AMD,0.318,-0.138,0.0,0.495,0.564,0.63,0.443,0.75,-0.271,-0.243
AMZN,0.402,0.43,0.495,0.0,0.628,0.3,0.187,0.446,-0.216,0.173
GOOGL,-0.062,-0.289,0.564,0.628,0.0,0.538,0.666,0.554,-0.489,-0.23
INTC,-0.075,-0.071,0.63,0.3,0.538,0.0,0.772,0.103,0.259,0.264
MARA,-0.132,-0.281,0.443,0.187,0.666,0.772,0.0,0.101,0.055,0.173
NVDA,0.314,-0.352,0.75,0.446,0.554,0.103,0.101,0.0,-0.743,-0.665
PLUG,0.107,0.543,-0.271,-0.216,-0.489,0.259,0.055,-0.743,0.0,0.831
TSLA,0.225,0.737,-0.243,0.173,-0.23,0.264,0.173,-0.665,0.831,0.0
