,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.922,0.92,0.891,0.94,0.839,0.691,0.92,-0.608,0.926
AAPL,0.922,0.0,0.962,0.927,0.979,0.893,0.685,0.973,-0.804,0.867
AMD,0.92,0.962,0.0,0.965,0.956,0.83,0.652,0.965,-0.705,0.849
AMZN,0.891,0.927,0.965,0.0,0.931,0.789,0.603,0.918,-0.649,0.805
GOOGL,0.94,0.979,0.956,0.931,0.0,0.908,0.721,0.944,-0.747,0.89
INTC,0.839,0.893,0.83,0.789,0.908,0.0,0.829,0.815,-0.73,0.835
MARA,0.691,0.685,0.652,0.603,0.721,0.829,0.0,0.606,-0.579,0.701
NVDA,0.92,0.973,0.965,0.918,0.944,0.815,0.606,0.0,-0.751,0.859
PLUG,-0.608,-0.804,-0.705,-0.649,-0.747,-0.73,-0.579,-0.751,0.0,-0.611
TSLA,0.926,0.867,0.849,0.805,0.89,0.835,0.701,0.859,-0.611,0.0
