,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.279,-0.616,0.557,0.698,0.176,0.438,0.511,-0.016,0.779
AAPL,-0.279,0.0,0.712,-0.664,-0.486,-0.323,0.551,0.07,-0.017,-0.464
AMD,-0.616,0.712,0.0,-0.62,-0.574,-0.071,0.181,-0.12,-0.169,-0.464
AMZN,0.557,-0.664,-0.62,0.0,0.8,0.767,0.033,0.471,-0.014,0.698
GOOGL,0.698,-0.486,-0.574,0.8,0.0,0.504,0.153,0.325,-0.225,0.752
INTC,0.176,-0.323,-0.071,0.767,0.504,0.0,0.145,0.529,-0.179,0.517
MARA,0.438,0.551,0.181,0.033,0.153,0.145,0.0,0.63,-0.137,0.256
NVDA,0.511,0.07,-0.12,0.471,0.325,0.529,0.63,0.0,0.157,0.535
PLUG,-0.016,-0.017,-0.169,-0.014,-0.225,-0.179,-0.137,0.157,0.0,-0.115
TSLA,0.779,-0.464,-0.464,0.698,0.752,0.517,0.256,0.535,-0.115,0.0
