,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.808,0.847,0.84,0.701,0.901,0.773,0.834,0.571,0.572
AAPL,0.808,0.0,0.494,0.956,0.902,0.662,0.538,0.636,0.892,0.777
AMD,0.847,0.494,0.0,0.602,0.497,0.94,0.921,0.938,0.251,0.44
AMZN,0.84,0.956,0.602,0.0,0.919,0.738,0.684,0.748,0.88,0.788
GOOGL,0.701,0.902,0.497,0.919,0.0,0.621,0.619,0.708,0.878,0.909
INTC,0.901,0.662,0.94,0.738,0.621,0.0,0.876,0.923,0.436,0.489
MARA,0.773,0.538,0.921,0.684,0.619,0.876,0.0,0.958,0.409,0.575
NVDA,0.834,0.636,0.938,0.748,0.708,0.923,0.958,0.0,0.491,0.664
PLUG,0.571,0.892,0.251,0.88,0.878,0.436,0.409,0.491,0.0,0.817
TSLA,0.572,0.777,0.44,0.788,0.909,0.489,0.575,0.664,0.817,0.0
