,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.858,0.348,0.804,0.661,0.836,0.855,0.769,0.831,0.907
AAPL,0.858,0.0,0.596,0.844,0.857,0.876,0.93,0.934,0.912,0.925
AMD,0.348,0.596,0.0,0.307,0.632,0.486,0.527,0.659,0.553,0.515
AMZN,0.804,0.844,0.307,0.0,0.869,0.884,0.933,0.878,0.893,0.893
GOOGL,0.661,0.857,0.632,0.869,0.0,0.862,0.893,0.934,0.861,0.871
INTC,0.836,0.876,0.486,0.884,0.862,0.0,0.859,0.842,0.829,0.891
MARA,0.855,0.93,0.527,0.933,0.893,0.859,0.0,0.967,0.983,0.957
NVDA,0.769,0.934,0.659,0.878,0.934,0.842,0.967,0.0,0.962,0.916
PLUG,0.831,0.912,0.553,0.893,0.861,0.829,0.983,0.962,0.0,0.92
TSLA,0.907,0.925,0.515,0.893,0.871,0.891,0.957,0.916,0.92,0.0
