,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.892,-0.83,-0.909,-0.683,0.372,-0.077,-0.614,-0.843,-0.891
AAPL,-0.892,0.0,0.86,0.898,0.649,-0.404,-0.04,0.511,0.975,0.964
AMD,-0.83,0.86,0.0,0.826,0.789,-0.005,0.352,0.837,0.823,0.845
AMZN,-0.909,0.898,0.826,0.0,0.754,-0.262,0.06,0.634,0.855,0.949
GOOGL,-0.683,0.649,0.789,0.754,0.0,0.184,0.548,0.749,0.561,0.681
INTC,0.372,-0.404,-0.005,-0.262,0.184,0.0,0.652,0.382,-0.446,-0.371
MARA,-0.077,-0.04,0.352,0.06,0.548,0.652,0.0,0.627,-0.13,-0.038
NVDA,-0.614,0.511,0.837,0.634,0.749,0.382,0.627,0.0,0.438,0.534
PLUG,-0.843,0.975,0.823,0.855,0.561,-0.446,-0.13,0.438,0.0,0.947
TSLA,-0.891,0.964,0.845,0.949,0.681,-0.371,-0.038,0.534,0.947,0.0
