,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.491,0.473,-0.271,0.078,0.559,0.025,-0.058,0.227,0.667
AAPL,0.491,0.0,0.827,0.447,-0.23,0.245,0.78,0.255,0.617,0.773
AMD,0.473,0.827,0.0,0.464,0.037,0.581,0.451,0.498,0.215,0.678
AMZN,-0.271,0.447,0.464,0.0,-0.025,-0.01,0.535,0.559,0.21,0.271
GOOGL,0.078,-0.23,0.037,-0.025,0.0,0.59,-0.589,0.565,-0.763,-0.311
INTC,0.559,0.245,0.581,-0.01,0.59,0.0,-0.317,0.371,-0.439,0.166
MARA,0.025,0.78,0.451,0.535,-0.589,-0.317,0.0,0.07,0.819,0.547
NVDA,-0.058,0.255,0.498,0.559,0.565,0.371,0.07,0.0,-0.264,0.126
PLUG,0.227,0.617,0.215,0.21,-0.763,-0.439,0.819,-0.264,0.0,0.642
TSLA,0.667,0.773,0.678,0.271,-0.311,0.166,0.547,0.126,0.642,0.0
