,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.104,-0.72,0.577,0.681,-0.51,0.611,0.564,0.213,0.544
AAPL,0.104,0.0,0.185,-0.283,-0.193,-0.078,0.736,0.558,0.2,-0.301
AMD,-0.72,0.185,0.0,-0.701,-0.573,0.576,-0.262,-0.299,-0.155,-0.17
AMZN,0.577,-0.283,-0.701,0.0,0.649,0.017,0.061,0.227,0.139,0.251
GOOGL,0.681,-0.193,-0.573,0.649,0.0,-0.285,0.188,0.08,-0.105,0.498
INTC,-0.51,-0.078,0.576,0.017,-0.285,0.0,-0.427,-0.216,-0.097,-0.102
MARA,0.611,0.736,-0.262,0.061,0.188,-0.427,0.0,0.747,0.315,0.038
NVDA,0.564,0.558,-0.299,0.227,0.08,-0.216,0.747,0.0,0.502,0.106
PLUG,0.213,0.2,-0.155,0.139,-0.105,-0.097,0.315,0.502,0.0,-0.034
TSLA,0.544,-0.301,-0.17,0.251,0.498,-0.102,0.038,0.106,-0.034,0.0
