,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.363,0.078,0.208,0.713,0.045,0.608,0.037,0.153,0.194
AAPL,0.363,0.0,0.732,0.92,0.71,0.503,0.602,0.681,0.261,0.012
AMD,0.078,0.732,0.0,0.715,0.242,0.79,0.341,0.863,0.719,0.113
AMZN,0.208,0.92,0.715,0.0,0.66,0.416,0.424,0.581,0.166,-0.233
GOOGL,0.713,0.71,0.242,0.66,0.0,-0.021,0.532,0.149,-0.129,-0.137
INTC,0.045,0.503,0.79,0.416,-0.021,0.0,0.472,0.855,0.772,0.53
MARA,0.608,0.602,0.341,0.424,0.532,0.472,0.0,0.408,0.23,0.458
NVDA,0.037,0.681,0.863,0.581,0.149,0.855,0.408,0.0,0.713,0.362
PLUG,0.153,0.261,0.719,0.166,-0.129,0.772,0.23,0.713,0.0,0.474
TSLA,0.194,0.012,0.113,-0.233,-0.137,0.53,0.458,0.362,0.474,0.0
