,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.714,0.279,0.479,0.408,0.029,0.341,0.629,0.756,-0.326
AAPL,0.714,0.0,0.559,0.6,0.721,-0.037,0.635,0.92,0.761,-0.035
AMD,0.279,0.559,0.0,0.003,0.694,0.361,0.718,0.725,0.423,0.137
AMZN,0.479,0.6,0.003,0.0,0.456,-0.663,0.246,0.585,0.298,0.123
GOOGL,0.408,0.721,0.694,0.456,0.0,-0.149,0.664,0.844,0.575,0.132
INTC,0.029,-0.037,0.361,-0.663,-0.149,0.0,0.298,-0.095,0.109,-0.274
MARA,0.341,0.635,0.718,0.246,0.664,0.298,0.0,0.698,0.346,-0.108
NVDA,0.629,0.92,0.725,0.585,0.844,-0.095,0.698,0.0,0.686,0.106
PLUG,0.756,0.761,0.423,0.298,0.575,0.109,0.346,0.686,0.0,-0.055
TSLA,-0.326,-0.035,0.137,0.123,0.132,-0.274,-0.108,0.106,-0.055,0.0
