,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.573,0.535,0.152,0.013,0.648,0.26,0.463,0.394,0.442
AAPL,0.573,0.0,0.889,0.825,0.028,0.652,0.177,0.89,0.505,0.875
AMD,0.535,0.889,0.0,0.777,0.183,0.525,0.134,0.926,0.536,0.786
AMZN,0.152,0.825,0.777,0.0,-0.146,0.488,0.185,0.785,0.177,0.781
GOOGL,0.013,0.028,0.183,-0.146,0.0,-0.474,-0.158,0.289,0.637,-0.083
INTC,0.648,0.652,0.525,0.488,-0.474,0.0,0.257,0.491,0.053,0.698
MARA,0.26,0.177,0.134,0.185,-0.158,0.257,0.0,0.146,-0.361,0.089
NVDA,0.463,0.89,0.926,0.785,0.289,0.491,0.146,0.0,0.574,0.826
PLUG,0.394,0.505,0.536,0.177,0.637,0.053,-0.361,0.574,0.0,0.395
TSLA,0.442,0.875,0.786,0.781,-0.083,0.698,0.089,0.826,0.395,0.0
