,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.359,0.421,0.218,0.535,0.391,0.253,0.29,-0.622,0.26
AAPL,0.359,0.0,0.17,-0.317,0.82,-0.228,-0.557,-0.448,0.011,-0.424
AMD,0.421,0.17,0.0,0.222,0.298,0.116,0.172,0.31,-0.302,0.088
AMZN,0.218,-0.317,0.222,0.0,-0.253,0.036,0.499,0.864,-0.062,0.202
GOOGL,0.535,0.82,0.298,-0.253,0.0,0.072,-0.222,-0.286,-0.293,-0.167
INTC,0.391,-0.228,0.116,0.036,0.072,0.0,0.626,0.214,-0.337,0.442
MARA,0.253,-0.557,0.172,0.499,-0.222,0.626,0.0,0.707,-0.181,0.549
NVDA,0.29,-0.448,0.31,0.864,-0.286,0.214,0.707,0.0,-0.25,0.399
PLUG,-0.622,0.011,-0.302,-0.062,-0.293,-0.337,-0.181,-0.25,0.0,-0.423
TSLA,0.26,-0.424,0.088,0.202,-0.167,0.442,0.549,0.399,-0.423,0.0
